OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-08-30T12:29:36.518784,13.76691183,.00278968,90.2174,73.4952,68.8537,345.1055,0,U,900,999,8165,.46049894E-3,.463E-5,0
CALSPHERE 2,1964-063E,2026-08-30T13:59:24.013248,13.52905159,.00191505,90.2290,77.5499,17.4058,47.7866,0,U,902,999,86632,.54617381E-4,.45E-6,0
LCS 1,1965-034C,2026-08-30T14:12:59.383008,9.89310612,.0011551,32.1466,0.3612,25.1727,334.9332,0,U,1361,999,21725,-.34797511E-3,.6E-7,0
TEMPSAT 1,1965-065E,2026-08-30T10:17:25.860192,13.33597636,.00711273,90.0028,212.6021,41.4122,81.2294,0,U,1512,999,96994,.36154161E-4,.27E-6,0
CALSPHERE 4A,1965-065H,2026-08-30T12:22:21.085248,13.36289159,.00678751,89.8933,121.7460,253.8189,223.5236,0,U,1520,999,97263,.13950113E-3,.81E-6,0
OPS 5712 (P/L 160),1967-053A,2026-08-30T11:39:52.580736,14.78553951,.00044529,69.9155,216.0555,280.1217,79.9429,0,U,2826,999,7721,.99374956E-3,.7206E-4,0
LES-5,1967-066E,2026-08-30T09:05:42.815328,1.09425895,.00515607,2.7907,94.1974,214.5972,97.3095,0,U,2866,999,13184,0,-.9E-6,0
SURCAL 159,1967-053F,2026-08-30T06:27:56.753568,13.99617125,.00065997,69.9731,201.2995,355.0573,5.0468,0,U,2872,999,2057,.63161646E-4,.39E-6,0
OPS 5712 (P/L 153),1967-053H,2026-08-30T14:19:16.210560,13.96837477,.00045936,69.9753,315.8151,103.8113,256.3504,0,U,2874,999,1718,.42576059E-4,.6E-7,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-08-30T14:00:25.085952,14.37945081,.00590499,87.6238,318.1628,348.2353,11.7462,0,U,5398,999,88457,.13683736E-3,.439E-5,0
OSCAR 7 (AO-7),1974-089B,2026-08-30T14:34:52.495392,12.53699376,.00121999,101.9921,256.6324,351.0967,130.3357,0,U,7530,999,36984,.19795469E-4,-.43E-6,0
