OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2026-06-09T07:29:40.127136,12.53697932,.00124882,101.9901,173.4766,144.7701,229.1729,0,U,7530,999,35953,.69227233E-4,-.35E-6,0
PHASE 3B (AO-10),1983-058B,2026-06-07T04:08:14.383680,2.05872980,.60142661,25.9048,221.2242,112.9115,319.2048,0,U,14129,999,29528,0,-.194E-5,0
UOSAT 2 (UO-11),1984-021B,2026-06-09T04:00:19.781568,14.90763358,.00068869,97.8054,125.8314,199.5378,160.5577,0,U,14781,999,25593,.11977526E-3,.1121E-4,0
LUSAT (LO-19),1990-005G,2026-06-09T05:28:47.157312,14.34120727,.00107132,98.8852,181.8144,225.8181,134.2123,0,U,20442,999,90125,.53683747E-4,.103E-5,0
EYESAT A (AO-27),1993-061C,2026-06-09T02:21:47.956608,14.30940069,.00094111,98.6881,227.5146,120.7072,239.5039,0,U,22825,999,70584,.45187314E-4,.74E-6,0
ITAMSAT (IO-26),1993-061D,2026-06-08T22:34:18.348096,14.31366725,.00100485,98.6829,227.2733,106.4244,253.8044,0,U,22826,999,70613,.51394292E-4,.92E-6,0
RADIO ROSTO (RS15),1994-085A,2026-06-09T03:12:54.448992,11.27583633,.0155702,64.8186,316.2407,5.3648,354.8901,0,U,23439,999,29499,.2028419E-3,-.35E-6,0
JAS-2 (FO-29),1996-046B,2026-06-09T02:30:14.711616,13.53273744,.03507773,98.5248,10.0837,117.3510,246.3789,0,U,24278,999,47207,.23942975E-4,-.9E-7,0
TECHSAT 1B (GO-32),1998-043D,2026-06-09T06:25:04.528128,14.24426844,.00005985,99.0065,152.8264,183.8868,176.2306,0,U,25397,999,45020,.45500244E-4,.59E-6,0
ISS (ZARYA),1998-067A,2026-06-09T04:35:05.112096,15.49678250,.00068905,51.6332,339.6717,149.5560,210.5830,0,U,25544,999,57051,.12923528E-3,.6847E-4,0
PCSAT (NO-44),2001-043C,2026-06-09T06:24:09.717696,14.31953293,.00061078,67.0511,264.7572,264.2587,95.7818,0,U,26931,999,28931,.64107764E-4,.89E-6,0
SAUDISAT 1C (SO-50),2002-058C,2026-06-09T06:22:34.107456,14.83029337,.00754352,64.5504,153.4942,263.9417,95.3090,0,U,27607,999,26328,.12670693E-3,.928E-5,0
CUTE-1 (CO-55),2003-031E,2026-06-09T05:45:04.286016,14.24330800,.00090039,98.6735,168.8984,201.6668,158.4131,0,U,27844,999,19054,.13415447E-3,.266E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-06-09T00:19:05.278656,14.23616414,.00085614,98.6766,168.3941,222.5153,137.5363,0,U,27848,999,19021,.11651716E-3,.222E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-06-09T06:55:40.813248,14.73452061,.00101756,98.3475,344.4245,298.1896,238.5217,0,U,27939,999,21438,.7678144E-4,.444E-5,0
CUBESAT XI-V,2005-043F,2026-06-07T22:59:29.763168,14.72607812,.00130883,98.2976,314.3867,231.5140,128.4894,0,U,28895,999,10039,.26180301E-3,.1615E-4,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-06-09T05:27:28.979136,15.09376314,.00103423,97.8272,141.4808,62.0877,298.1398,0,U,32785,999,98399,.32463854E-3,.5125E-4,0
SEEDS II (CO-66),2008-021J,2026-06-09T05:39:09.738432,15.32477826,.00022936,97.7519,157.7552,29.0945,331.0424,0,U,32791,999,98607,.51421817E-3,.1606E-3,0
YUBILEINY (RS30),2008-025A,2026-06-09T07:00:36.747072,12.43178880,.00191919,82.5048,0.3522,331.7140,28.2896,0,U,32953,999,81871,.38928892E-4,.15E-6,0
KKS-1 (KISEKI),2009-002H,2026-06-09T07:05:34.744128,14.83103543,.00070037,98.1193,82.6129,325.5700,34.5058,0,U,33499,999,93502,.15994335E-3,.1247E-4,0
SWISSCUBE,2009-051B,2026-06-09T05:34:22.375488,14.62466323,.00055364,98.4042,67.9819,231.7827,128.2876,0,U,35932,999,88799,.18429864E-3,.884E-5,0
BEESAT-1,2009-051C,2026-06-09T07:20:34.906848,14.61707654,.00039107,98.3972,67.7088,248.2700,111.8085,0,U,35933,999,88803,.15740813E-3,.735E-5,0
ITUPSAT1,2009-051E,2026-06-09T06:57:31.866624,14.60428780,.00060783,98.4055,66.8927,263.4866,96.5642,0,U,35935,999,88758,.14856364E-3,.671E-5,0
XIWANG-1 (HOPE-1),2009-072B,2026-06-09T06:20:07.371744,13.16438341,.00068019,100.4025,114.2227,251.7914,108.2459,0,U,36122,999,79196,-.52090582E-3,-.243E-5,0
O/OREOS (USA 219),2010-062C,2026-06-09T05:26:25.171872,14.93710062,.00123856,71.9704,98.3700,80.4823,279.7746,0,U,37224,999,11545,.20524832E-3,.2113E-4,0
JUGNU,2011-058B,2026-06-09T06:27:07.528032,14.13774628,.00185497,19.9621,356.5333,349.0526,166.6651,0,U,37839,999,75790,.722974E-4,.405E-5,0
SRMSAT,2011-058D,2026-06-09T05:50:10.041792,14.11573893,.00119399,19.9710,107.5505,116.6749,358.0957,0,U,37841,999,75669,.52709345E-4,.362E-5,0
STRAND-1,2013-009E,2026-06-09T06:12:02.102688,14.37158500,.00074398,98.3921,340.6880,252.3882,107.6492,0,U,39090,999,69592,.10122646E-3,.258E-5,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2026-06-09T03:24:19.723680,15.01137906,.00400541,97.8092,122.4351,275.9917,83.6743,0,U,39417,999,67952,.23503368E-3,.2997E-4,0
GOMX-1,2013-066Q,2026-06-09T06:53:20.399424,14.69429819,.01301381,97.6494,1.2481,102.6304,258.9490,0,U,39430,999,66875,.24471672E-3,.16E-4,0
