OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2026-07-28T21:43:16.221504,14.12582272,.05457798,30.3561,126.0763,245.4444,108.8336,0,U,694,999,15160,.8283649E-4,.807E-5,0
THOR AGENA D R/B,1964-002A,2026-07-28T16:05:35.520864,14.34081110,.00323389,99.1155,230.6401,206.3887,153.5650,0,U,733,999,25850,.82998792E-4,.185E-5,0
SL-3 R/B,1964-053B,2026-07-28T22:27:45.936576,14.61445745,.00797407,65.0768,277.1002,247.9920,111.2695,0,U,877,999,28743,.51414345E-4,.14E-5,0
SL-8 R/B,1967-045B,2026-07-28T16:11:19.832640,14.45701739,.00632519,74.0103,84.7732,57.6871,303.0391,0,U,2802,999,10939,.82316049E-4,.271E-5,0
SL-8 R/B,1968-040B,2026-07-28T21:24:43.944192,15.04004505,.00242332,74.0301,24.9825,169.7178,190.4512,0,U,3230,999,11123,.25081822E-3,.3447E-4,0
OAO 2,1968-110A,2026-07-28T09:02:19.240512,14.47365587,.00060378,34.9919,199.6912,247.4499,112.5553,0,U,3597,999,3949,.46905523E-4,.155E-5,0
ISIS 1,1969-009A,2026-07-28T19:05:00.145248,11.30438219,.17072769,88.4458,139.8325,164.2024,201.9944,0,U,3669,999,36447,.49590423E-4,.86E-6,0
SERT 2,1970-009A,2026-07-28T18:41:08.604384,13.58741781,.00051163,99.2840,145.2600,154.5147,232.7053,0,U,4327,999,79905,.38307166E-4,-.13E-6,0
SL-3 R/B,1971-028B,2026-07-28T21:11:30.600384,15.73788838,.00148311,81.2282,236.0054,136.6181,223.6249,0,U,5118,999,1079,.44856096E-3,.63923E-3,0
ASTEX 1,1971-089A,2026-07-28T19:09:48.667680,14.50881350,.00144451,92.7018,197.2593,336.3100,23.7439,0,U,5560,999,88276,.99239849E-4,.391E-5,0
SL-8 R/B,1971-119B,2026-07-28T13:43:24.263040,14.39899784,.05418594,73.8863,271.8690,209.4910,147.4656,0,U,5730,999,67575,.38312206E-3,.7508E-4,0
OAO 3 (COPERNICUS),1972-065A,2026-07-28T10:03:45.385920,14.60080419,.000708,35.0043,215.4644,234.7930,270.8824,0,U,6153,999,86677,.55207519E-4,.249E-5,0
ATLAS CENTAUR R/B,1972-065B,2026-07-28T06:47:50.913024,14.77981781,.00329633,34.9998,201.6041,114.5117,245.9026,0,U,6155,999,86207,.11308418E-3,.812E-5,0
SL-8 R/B,1975-112B,2026-07-28T18:35:47.700960,14.38263298,.00156685,74.0611,119.3678,179.0460,181.0727,0,U,8459,999,65215,.71344234E-4,.191E-5,0
SL-3 R/B,1977-057B,2026-07-28T21:40:58.831680,15.48663637,.0008094,97.5850,28.4940,125.1575,235.0435,0,U,10114,999,69016,.23366417E-3,.12416E-3,0
