OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CUTE-1 (CO-55),2003-031E,2026-06-03T13:11:18.293856,14.24327019,.00086909,98.6736,163.2800,219.4250,140.6297,0,U,27844,999,18973,.16425086E-3,.336E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-06-05T06:55:03.051264,14.23614275,.00084044,98.6767,164.7190,234.4870,125.5525,0,U,27848,999,18968,.13216853E-3,.257E-5,0
CUBESAT XI-V,2005-043F,2026-06-04T23:14:19.793760,14.72598149,.00129303,98.2974,311.3347,241.7427,118.2475,0,U,28895,999,9995,.27372901E-3,.1691E-4,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-06-05T05:59:35.896128,15.09330786,.00105685,97.8271,137.4216,73.6598,286.5791,0,U,32785,999,98339,.30921923E-3,.4872E-4,0
CANX-2,2008-021H,2026-06-05T04:36:52.904736,15.05527845,.00123609,97.8638,135.7389,86.1502,274.1137,0,U,32790,999,98300,.26165789E-3,.3706E-4,0
SEEDS II (CO-66),2008-021J,2026-06-05T06:03:20.031552,15.32323732,.00027824,97.7518,153.5844,37.9418,322.2018,0,U,32791,999,98546,.52583268E-3,.16346E-3,0
SWISSCUBE,2009-051B,2026-06-05T06:20:04.714080,14.62457994,.00054303,98.4043,63.9444,247.1913,112.8715,0,U,35932,999,88741,.22720604E-3,.1101E-4,0
BEESAT-1,2009-051C,2026-06-05T06:24:45.177120,14.61700495,.00038984,98.3972,63.6080,265.1177,94.9579,0,U,35933,999,88744,.19630042E-3,.929E-5,0
ITUPSAT1,2009-051E,2026-06-04T16:47:20.224032,14.60421767,.0006134,98.4056,62.2366,280.9538,79.0971,0,U,35935,999,88691,.20796E-3,.958E-5,0
TISAT 1,2010-035E,2026-06-05T02:16:43.622112,15.31230464,.00003236,98.0706,101.5757,13.4506,346.6742,0,U,36799,999,86585,.79926744E-3,.24075E-3,0
AEROCUBE 4.5A,2012-048K,2026-06-05T00:50:05.882784,15.87334448,.00188903,64.6278,71.0977,214.1459,145.8486,0,U,38767,999,37072,.10440396E-2,.278208E-2,.3435465E-4
STRAND-1,2013-009E,2026-06-05T05:17:12.122016,14.37155907,.00073888,98.3919,336.7495,266.3997,93.6345,0,U,39090,999,69534,.11172E-3,.289E-5,0
BRITE-AUSTRIA,2013-009F,2026-06-05T05:28:18.854400,14.36537135,.00089627,98.3993,335.9601,276.8792,83.1375,0,U,39091,999,69533,.76469003E-4,.182E-5,0
NEE-01 PEGASO,2013-018B,2026-06-03T11:09:53.669664,14.93586684,.00121772,98.1207,298.1637,203.9081,156.1574,0,U,39151,999,70865,.30779545E-3,.319E-4,0
