OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
PROBA-1,2001-049B,2026-06-27T22:56:32.542944,15.07542728,.00565957,97.9602,187.8640,86.6546,274.1153,0,U,26958,999,34524,.17397163E-3,.267E-4,0
CUTE-1 (CO-55),2003-031E,2026-06-27T20:31:42.296160,14.24341870,.00101852,98.6736,187.2801,148.1888,211.9908,0,U,27844,999,19319,.13739642E-3,.274E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-06-27T13:37:57.919008,14.23626048,.00096614,98.6767,186.7007,166.6702,193.4734,0,U,27848,999,19285,.12175343E-3,.234E-5,0
APRIZESAT 4,2009-041D,2026-06-27T18:37:56.055072,14.83892141,.00419369,98.1411,254.3077,287.8052,71.8588,0,U,35684,999,91293,.82788371E-4,.638E-5,0
APRIZESAT 3,2009-041F,2026-06-27T20:46:36.103296,14.96272026,.00624037,98.2076,332.6019,32.8473,327.6601,0,U,35686,999,91797,.79814838E-4,.868E-5,0
PROBA-2,2009-059B,2026-06-27T18:18:53.974944,14.54866678,.00120312,98.2451,1.9693,245.8487,114.1453,0,U,36037,999,88306,.54534155E-4,.189E-5,0
APRIZESAT 5,2011-044E,2026-06-27T17:58:36.195456,14.81097082,.00514863,98.2452,112.0888,330.1722,29.6557,0,U,37792,999,80035,.1337282E-3,.1002E-4,0
APRIZESAT 6,2011-044F,2026-06-27T17:02:05.849952,14.76931203,.00442516,98.2358,89.4239,53.3903,336.6258,0,U,37793,999,79870,.11576651E-3,.771E-5,0
PROBA-V,2013-021A,2026-06-27T20:56:42.552672,14.23599464,.0005418,98.3590,156.9521,99.0187,261.1606,0,U,39159,999,68263,.59926647E-4,.96E-6,0
APRIZESAT 7,2013-066A,2026-06-27T19:41:28.916448,14.91584687,.00359147,97.7712,131.8876,173.6447,186.5235,0,U,39416,999,68281,.1255549E-3,.1217E-4,0
APRIZESAT 8,2013-066K,2026-06-27T20:03:45.147744,14.87670505,.00444011,97.8223,126.1556,250.3033,109.3390,0,U,39425,999,68125,.96712822E-4,.838E-5,0
BUGSAT-1 (TITA),2014-033E,2026-06-27T22:18:36.652032,15.15702252,.00287549,98.0435,272.1069,142.4161,217.9087,0,U,40014,999,65746,.29800416E-3,.5659E-4,0
SAUDISAT 4,2014-033G,2026-06-27T20:55:32.203200,14.79557530,.00456601,97.7594,324.6375,40.1397,320.3173,0,U,40016,999,64765,.85378562E-4,.598E-5,0
APRIZESAT 9,2014-033J,2026-06-27T20:43:55.260192,14.74229426,.0066537,97.9072,311.8021,164.8287,195.4938,0,U,40018,999,64513,.11934179E-3,.764E-5,0
APRIZESAT 10,2014-033K,2026-06-27T20:59:57.743232,14.70892447,.00776006,97.9662,305.5967,239.1230,120.2328,0,U,40019,999,64382,.88732723E-4,.515E-5,0
TECHDEMOSAT-1 (TDS-1),2014-037H,2026-06-27T20:52:29.349696,15.13445265,.00052279,98.3809,172.1421,218.8750,141.2104,0,U,40076,999,64984,.4716597E-3,.8359E-4,0
