OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2026-06-20T09:10:28.742304,1.00272364,.00383,12.5990,340.9850,356.4263,19.9856,0,U,19548,999,12542,0,-.309E-5,0
FLTSATCOM 8 (USA 46),1989-077A,2026-06-20T10:51:12.936384,1.00275807,.000422,12.4207,351.1441,57.5068,148.5574,0,U,20253,999,26059,0,-.377E-5,0
SKYNET 4C,1990-079A,2026-06-11T04:50:51.491040,1.00274127,.00024,13.3424,349.8525,96.2313,279.5534,0,U,20776,999,13083,0,.132E-5,0
TDRS 5,1991-054B,2026-06-20T11:39:58.982112,1.00276037,.0006201,14.0706,353.7579,274.9854,7.2953,0,U,21639,999,12774,0,.73E-6,0
TDRS 6,1993-003B,2026-06-20T01:03:30.623616,1.00270344,.00082095,14.1828,357.0374,178.4700,62.8072,0,U,22314,999,12243,0,-.307E-5,0
UFO 2 (USA 95),1993-056A,2026-06-20T04:24:40.638816,1.00270176,.0004971,11.8958,3.5382,9.3128,350.3609,0,U,22787,999,11857,0,.114E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-06-19T20:28:38.572608,0.98724155,.00008495,17.6313,27.6798,225.3426,312.3366,0,U,22988,999,3297,0,-.236E-5,0
UFO 4 (USA 108),1995-003A,2026-06-20T08:30:53.722080,1.00272715,.0003078,9.6904,13.2184,71.6725,123.5778,0,U,23467,999,11498,0,-.32E-6,0
TDRS 7,1995-035B,2026-06-19T23:33:48.962880,1.00280526,.00115795,13.3760,348.1707,83.0115,279.2998,0,U,23613,999,11328,0,-.25E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-06-20T05:18:45.412416,1.00364409,.0001604,14.0740,3.7293,135.3698,115.8094,0,U,23712,999,3291,0,-.208E-5,0
INMARSAT 3-F1,1996-020A,2026-06-20T05:31:38.559360,0.99978301,.0003787,10.6069,46.6064,56.4316,149.9351,0,U,23839,999,11028,0,-.108E-5,0
INMARSAT 3-F2,1996-053A,2026-06-20T11:10:40.005120,1.00002274,.0006603,9.8639,53.9030,33.0245,135.6144,0,U,24307,999,10895,0,-.29E-5,0
INMARSAT 3-F3,1996-070A,2026-06-19T19:54:24.651072,0.99983665,.00032728,10.3236,49.6281,29.1261,167.6670,0,U,24674,999,10793,0,.127E-5,0
AMC-3,1997-050A,2026-06-20T08:43:22.524096,0.99063277,.0004276,8.1731,63.9526,28.7988,162.4826,0,U,24936,999,5246,0,.32E-6,0
USA 134,1997-065A,2026-06-20T09:22:01.989120,1.00268962,.0003372,12.7884,21.7019,339.9641,295.1138,0,U,25019,999,3298,0,-.73E-6,0
INMARSAT 3-F5,1998-006B,2026-06-20T02:18:24.384384,1.00274648,.0004223,9.7004,53.2332,31.4135,164.2527,0,U,25153,999,10392,0,-.3E-5,0
ABS-6,1999-053A,2026-06-20T11:06:32.399136,1.00269039,.0003808,0.0231,32.5750,75.7645,125.9850,0,U,25924,999,9787,0,0,0
UFO 10 (USA 146),1999-063A,2026-06-20T09:17:58.024032,1.00270301,.0001926,9.8747,27.1851,45.2927,312.6649,0,U,25967,999,9737,0,-.198E-5,0
ASIASTAR,2000-016A,2026-06-19T15:05:11.116896,1.00267815,.00045953,9.1362,58.1299,30.2265,150.7520,0,U,26107,999,9594,0,-.342E-5,0
USA 149 (DSP 20),2000-024A,2026-06-20T04:30:27.857088,1.00276399,.00019663,13.1731,11.8345,315.8167,203.0148,0,U,26356,999,3294,0,.84E-6,0
TDRS 8,2000-034A,2026-06-19T14:59:19.180320,1.00277176,.00051407,12.6858,31.2997,29.9330,156.0649,0,U,26388,999,9520,0,-.206E-5,0
NSS-11,2000-059A,2026-06-20T08:32:01.114080,1.00272335,.0002909,2.1358,81.3554,358.9834,132.2266,0,U,26554,999,4132,0,.2E-6,0
USA 153,2000-065A,2026-06-19T19:04:21.864864,1.00269130,.00029936,11.6293,35.4010,47.0413,246.1317,0,U,26575,999,3295,0,-.335E-5,0
AMC-6,2000-067A,2026-06-20T09:28:38.667936,1.00270149,.0003583,0.1614,83.1922,14.3540,178.1789,0,U,26580,999,9392,0,.84E-6,0
USA 157 (MILSTAR-2 2),2001-009A,2026-06-20T10:02:43.933056,1.00276594,.0039242,11.5467,19.7486,177.4528,72.0947,0,U,26715,999,3297,0,.1E-5,0
INTELSAT 902 (IS-902),2001-039A,2026-06-20T04:02:12.791904,1.00270935,.00042805,6.1243,71.7474,14.2873,192.7993,0,U,26900,999,9072,0,-.29E-5,0
USA 164 (MILSTAR-2 3),2002-001A,2026-06-20T06:04:35.056128,1.00267381,.0099678,11.1840,21.8926,8.2747,348.4440,0,U,27168,999,3298,0,.87E-6,0
INTELSAT 904 (IS-904),2002-007A,2026-06-20T02:24:46.948032,1.00270151,.0006584,6.9283,69.1510,7.3069,196.5436,0,U,27380,999,5179,0,-.233E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-06-20T10:03:08.932032,1.00272003,.000324,4.8871,75.2720,16.1878,217.8431,0,U,27426,999,8815,0,-.63E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-06-20T08:45:14.844096,1.00272920,.0003977,6.7625,69.7638,23.7456,169.1624,0,U,27438,999,5139,0,.87E-6,0
GALAXY 3C (G-3C),2002-030A,2026-06-20T08:30:38.771424,1.00271504,.000169,3.7412,77.9368,28.7445,194.6953,0,U,27445,999,4652,0,-.158E-5,0
INTELSAT 906 (IS-906),2002-041A,2026-06-20T04:34:47.170272,1.00270726,.0004435,5.8098,72.8851,0.9940,327.3730,0,U,27513,999,8705,0,.6E-7,0
NIMIQ 2,2002-062A,2026-06-20T06:25:22.919232,1.00272421,.0005585,9.4541,56.8684,25.9598,172.8061,0,U,27632,999,4421,0,-.78E-6,0
USA 167,2003-008A,2026-06-20T09:24:03.839904,1.00272738,.0003974,10.9686,43.3827,314.8643,289.6742,0,U,27691,999,680,0,-.6E-7,0
USA 169 (MILSTAR-2 4),2003-012A,2026-06-19T22:09:16.142400,1.00272889,.01007587,12.3541,29.8224,9.2727,353.5115,0,U,27711,999,3298,0,-.271E-5,0
ASIASAT 4,2003-014A,2026-06-20T11:07:18.165216,1.00272462,.0002905,4.7120,75.7059,15.9102,131.4326,0,U,27718,999,4533,0,-.228E-5,0
HELLAS-SAT 2,2003-020A,2026-06-19T23:05:37.872960,1.00271497,.00026171,7.3623,67.8529,28.2464,148.4599,0,U,27811,999,4287,0,-.92E-6,0
THURAYA-2,2003-026A,2026-06-20T06:11:41.872992,1.00272422,.000297,8.8445,31.9625,12.7773,0.6575,0,U,27825,999,8438,0,.116E-5,0
OPTUS C1,2003-028B,2026-06-19T13:36:58.291776,1.00272247,.00055809,6.8966,69.3822,14.9031,183.4988,0,U,27831,999,5308,0,-.159E-5,0
USA 170,2003-040A,2026-06-20T00:13:14.759904,1.00269476,.0001755,10.5070,47.9240,42.2712,205.5706,0,U,27875,999,3302,0,.116E-5,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-06-20T10:43:38.786880,1.00272486,.0002186,1.4272,83.8231,358.3330,197.4020,0,U,27954,999,4660,0,.128E-5,0
YAMAL 202,2003-053A,2026-06-21T13:34:23.695392,1.00270906,.000318,6.3538,70.8853,7.2732,198.7465,0,U,28089,999,8274,0,-.84E-6,0
UFO 11 (USA 174),2003-057A,2026-06-20T02:55:29.004672,1.00271747,.00024154,8.9416,33.8126,64.0509,289.9601,0,U,28117,999,8247,0,-.114E-5,0
USA 176 (DSP 22),2004-004A,2026-06-20T03:22:18.617664,1.00275597,.00013871,12.0668,26.0523,309.2865,294.2599,0,U,28158,999,3296,0,-.306E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-06-20T06:18:38.860128,1.00274282,.0005075,6.0489,71.9702,16.4739,335.6938,0,U,28184,999,5236,0,.32E-6,0
INTELSAT 10-02,2004-022A,2026-06-20T09:24:12.426336,1.00270649,.0000101,0.0164,305.9154,152.4907,310.2364,0,U,28358,999,8058,0,-.16E-6,0
ANIK F2,2004-027A,2026-06-20T08:38:38.700096,1.00271596,.0004092,3.2965,79.4060,10.0614,197.6315,0,U,28378,999,4129,0,-.55E-6,0
AMC-15,2004-041A,2026-06-20T08:38:38.700096,1.00271527,.0002305,0.0144,359.6314,75.3144,218.2288,0,U,28446,999,7933,0,-.93E-6,0
NSS-10,2005-003A,2026-06-20T06:47:11.621760,1.00272014,.0002852,6.4581,70.4174,12.1151,250.3009,0,U,28526,999,5318,0,-.258E-5,0
INMARSAT 4-F1,2005-009A,2026-06-20T08:32:38.552928,1.00271541,.0002706,5.1732,42.7714,45.6778,126.3856,0,U,28628,999,7770,0,.26E-6,0
DIRECTV 8,2005-019A,2026-06-20T07:32:38.671008,1.00271999,.0003095,0.0188,33.3038,61.8276,167.4965,0,U,28659,999,7710,0,-.3E-7,0
GALAXY 28 (G-28),2005-022A,2026-06-20T09:16:43.142880,1.00270752,.0002814,3.3063,78.8948,10.7889,291.0100,0,U,28702,999,5200,0,-.205E-5,0
THAICOM 4,2005-028A,2026-06-20T10:42:39.151008,1.00271473,.0001774,0.2549,85.8466,349.9796,112.9969,0,U,28786,999,5228,0,-.367E-5,0
ANIK F1R,2005-036A,2026-06-20T10:24:08.129088,1.00271216,.0004175,4.3220,76.5421,5.3355,235.5023,0,U,28868,999,4648,0,-.8E-6,0
SYRACUSE 3A,2005-041B,2026-06-19T23:04:42.049920,1.00269106,.00029295,4.6490,75.8044,5.3723,219.8458,0,U,28885,999,7577,0,.122E-5,0
INMARSAT 4-F2,2005-044A,2026-06-19T23:49:24.967776,1.00270761,.00029721,5.0996,43.7044,35.9627,329.3724,0,U,28899,999,7555,0,-.268E-5,0
METEOSAT-9 (MSG-2),2005-049B,2026-06-19T22:17:31.522848,1.00273646,.00017746,9.3683,54.1432,346.4633,247.5699,0,U,28912,999,702,0,.115E-5,0
EUTELSAT 174A,2005-052A,2026-06-20T08:31:31.160928,1.00272302,.0006308,4.2287,76.4905,11.1427,122.7677,0,U,28924,999,5236,0,.3E-7,0
ECHOSTAR 10,2006-003A,2026-06-20T08:38:38.700096,1.00270944,.000143,0.0164,1.1897,77.7268,209.1028,0,U,28935,999,7449,0,-.6E-6,0
SPAINSAT,2006-007A,2026-06-20T08:06:39.324960,1.00272395,.0004829,0.5725,86.4734,359.2835,274.2855,0,U,28945,999,7424,0,-.221E-5,0
JCSAT-5A,2006-010A,2026-06-20T11:39:37.141056,1.00271456,.000201,1.1192,84.1884,350.8139,140.6470,0,U,29045,999,7380,0,-.332E-5,0
ASTRA 1KR,2006-012A,2026-06-20T07:47:11.735232,1.00273147,.0003417,0.4831,83.2137,1.9229,319.1766,0,U,29055,999,4572,0,.114E-5,0
GALAXY 16 (G-16),2006-023A,2026-06-20T08:56:15.105120,1.00271600,.0002593,0.0399,169.8247,277.9696,215.8483,0,U,29236,999,7300,0,-.131E-5,0
EUTELSAT 33F,2006-032A,2026-06-20T07:50:48.886944,1.00272297,.0003855,1.6709,82.2134,4.8576,332.2502,0,U,29270,999,4733,0,.151E-5,0
JCSAT-3A,2006-033A,2026-06-20T10:50:46.410720,1.00270195,.0002344,0.0093,338.5051,124.5781,96.2587,0,U,29272,999,4777,0,-.349E-5,0
KOREASAT 5 (MUGUNGWHA 5),2006-034A,2026-06-20T09:56:42.899424,1.00272700,.0001386,1.7946,82.9602,50.6116,37.2889,0,U,29349,999,4135,0,-.363E-5,0
DIRECTV 9S,2006-043A,2026-06-20T08:30:38.771424,1.00271223,.0005074,2.4300,80.8686,14.6015,199.5571,0,U,29494,999,5141,0,-.118E-5,0
OPTUS D1,2006-043B,2026-06-20T11:12:52.764768,1.00271392,.0003494,3.0443,79.6192,1.4851,147.7714,0,U,29495,999,7215,0,-.189E-5,0
BADR-4,2006-051A,2026-06-20T06:08:57.135840,1.00272848,.0004839,2.0138,81.0913,359.0702,314.9792,0,U,29526,999,5129,0,.15E-5,0
WILDBLUE-1,2006-054A,2026-06-20T08:52:45.439104,1.00271685,.0001466,2.8124,80.4454,0.2217,209.8913,0,U,29643,999,5382,0,-.54E-6,0
SKYNET 5A,2007-007B,2026-06-19T18:27:41.668128,1.00274097,.00037869,5.3067,73.7105,18.1377,188.2627,0,U,30794,999,7072,0,-.279E-5,0
ANIK F3,2007-009A,2026-06-20T09:55:10.791840,1.00273057,.0002606,1.2069,83.8169,6.0698,208.8044,0,U,31102,999,4659,0,-.6E-7,0
ASTRA 1L,2007-016A,2026-06-20T09:17:28.070880,1.00270966,.0005349,1.3311,81.5582,13.7881,288.1363,0,U,31306,999,4501,0,-.189E-5,0
GALAXY 17 (G-17),2007-016B,2026-06-20T09:00:14.723424,1.00271439,.000478,2.9813,79.8634,19.9713,218.7990,0,U,31307,999,6983,0,-.211E-5,0
INTELSAT 11 (IS-11),2007-044B,2026-06-20T01:23:28.654656,0.99049599,.00025223,3.5740,78.6372,87.4130,236.3380,0,U,32253,999,6847,0,-.176E-5,0
