OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GLOBALSTAR M069,2007-020C,2026-06-26T20:37:17.520384,12.23471544,.00021151,52.0006,224.7512,169.4544,14.8143,0,U,31573,999,87998,.34803884E-3,-.55E-6,0
GLOBALSTAR M072,2007-020D,2026-06-27T01:02:31.170048,11.91658409,.0001523,51.9937,74.0056,356.4163,110.1439,0,U,31574,999,87615,-.51335E-4,-.88E-6,0
GLOBALSTAR M066,2007-048C,2026-06-27T00:15:07.610400,12.30387001,.0005627,51.9607,29.7130,64.7091,101.0223,0,U,32265,999,86143,-.16498E-3,-.114E-5,0
GLOBALSTAR M079,2010-054A,2026-06-27T01:02:55.868352,12.62266235,.0000923,52.0044,78.6654,45.6656,58.4079,0,U,37188,999,72379,.87913E-6,-.104E-5,0
GLOBALSTAR M074,2010-054B,2026-06-26T21:44:54.466080,12.62261814,.0000712,52.0015,78.3472,68.6000,10.5372,0,U,37189,999,72438,-.47034E-4,-.112E-5,0
GLOBALSTAR M076,2010-054C,2026-06-26T23:56:08.327040,12.62261873,.000094,52.0030,78.2738,61.8383,311.5181,0,U,37190,999,72411,-.5271E-4,-.113E-5,0
GLOBALSTAR M077,2010-054D,2026-06-27T05:07:01.864992,11.67547984,.0002571,51.9926,153.8471,190.9211,182.0962,0,U,37191,999,72231,.1243E-3,-.71E-6,0
GLOBALSTAR M075,2010-054E,2026-06-27T02:09:02.323872,12.62267414,.00004,51.9939,120.0415,36.5440,336.5238,0,U,37192,999,72319,-.47673E-4,-.112E-5,0
GLOBALSTAR M073,2010-054F,2026-06-26T20:27:25.859232,12.62266663,.00010643,52.0075,34.8721,66.7635,306.2110,0,U,37193,999,72515,.87997027E-4,-.88E-6,0
GLOBALSTAR M083,2011-033A,2026-06-27T05:12:25.229952,12.62263656,.0000955,51.9881,341.9769,83.1555,88.7082,0,U,37739,999,69421,.14774E-3,-.77E-6,0
