OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-5  (PRN 22),2000-040A,2026-06-05T19:46:54.189120,2.00557638,.0121182,54.8528,215.6138,302.4136,56.9858,0,U,26407,999,18972,0,.36E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2026-06-05T04:10:03.912096,2.00561259,.01479334,54.8839,215.4464,53.0561,332.4546,0,U,27663,999,17107,0,.35E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2026-06-05T11:10:20.958240,2.00555178,.0115636,54.8398,276.1610,172.5952,217.0572,0,U,28190,999,16271,0,-.33E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2026-06-05T08:38:12.692832,2.00555478,.0169801,55.1438,325.3724,316.0991,62.2229,0,U,28474,999,15819,0,-.64E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-06-05T11:16:05.193120,2.00566553,.0127802,54.8880,273.6506,296.0738,124.6313,0,U,28874,999,15160,0,-.31E-6,0
INMARSAT 4-F2 (SOUTHPAN/PRN 122),2005-044A,2026-06-05T14:11:58.186752,1.00271201,.0003222,5.0790,43.7128,30.4026,176.3872,0,U,28899,999,7540,0,-.249E-5,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-06-05T13:57:47.805120,2.00570592,.0106356,54.7092,151.7997,54.1396,345.9347,0,U,29486,999,14416,0,.84E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-06-05T10:51:10.316736,2.00557585,.0085351,54.9360,214.4715,90.7498,270.3097,0,U,29601,999,14317,0,.37E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-06-05T06:12:11.202336,2.00555894,.0166311,54.0867,80.5574,87.1523,274.7487,0,U,32260,999,13657,0,-.12E-6,0
COSMOS 2433 (720),2007-052A,2026-06-05T04:25:13.628064,2.13104472,.0002033,65.5837,316.3372,188.6368,171.3540,0,U,32275,999,14480,0,-.33E-6,0
COSMOS 2432 (719),2007-052B,2026-06-01T11:30:03.781152,2.13103259,.00079627,65.6026,316.5890,335.3326,6.2477,0,U,32276,999,14474,0,-.55E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2026-06-05T13:24:03.421152,2.00559459,.0035514,55.0414,274.6203,164.8823,178.8466,0,U,32384,999,13527,0,-.31E-6,0
COSMOS 2434 (721),2007-065A,2026-06-05T08:01:38.665920,2.13101511,.0001092,64.3171,192.3156,343.7619,21.4203,0,U,32393,999,14352,0,.7E-6,0
COSMOS 2436 (723),2007-065C,2026-06-05T05:47:27.768768,2.13100377,.00171629,64.3259,192.3911,354.7132,71.3509,0,U,32395,999,14347,0,.7E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2026-06-05T16:03:55.160352,2.00572176,.0211033,54.4958,150.3848,247.6982,110.0518,0,U,32711,999,13352,0,.84E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2026-06-03T10:30:59.330880,2.00555156,.0053658,56.2018,27.9918,82.6385,117.0424,0,U,35752,999,12308,0,-.76E-6,0
COSMOS 2456 (730),2009-070A,2026-06-05T08:41:26.452608,2.13103930,.0005034,65.0050,71.3748,326.0196,218.4437,0,U,36111,999,12817,0,-.11E-6,0
COSMOS 2457 (733),2009-070B,2026-06-05T15:49:27.319872,2.13101382,.0002338,64.9906,71.2089,128.2022,51.8019,0,U,36112,999,12818,0,-.11E-6,0
COSMOS 2460 (732),2010-007C,2026-06-05T09:27:17.890848,2.13101730,.0002161,65.4278,314.8657,101.8616,236.5124,0,U,36402,999,12647,0,-.32E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2026-06-03T13:28:47.982144,2.00561834,.0126411,54.2712,209.1110,66.1395,340.8733,0,U,36585,999,11732,0,.43E-6,0
BEIDOU-2 IGSO-1 (C06),2010-036A,2026-06-05T20:03:58.194144,1.00275899,.0059092,54.3006,163.0619,225.0074,274.8303,0,U,36828,999,5798,0,-.58E-6,0
BEIDOU-2 G4 (C04),2010-057A,2026-06-05T15:59:18.648384,1.00272341,.0004796,3.6183,69.0151,203.1726,21.7505,0,U,37210,999,5717,0,-.1E-5,0
BEIDOU-2 IGSO-2 (C07),2010-068A,2026-06-02T17:12:31.818816,1.00288733,.0055435,47.5760,272.0122,212.8539,131.7633,0,U,37256,999,5664,0,-.206E-5,0
BEIDOU-2 IGSO-3 (C08),2011-013A,2026-06-04T15:13:36.073056,1.00271497,.00344466,62.3902,40.2715,185.4993,3.7397,0,U,37384,999,5553,0,-.179E-5,0
GSAT-8 (GAGAN/PRN 127),2011-022A,2026-06-05T18:54:45.645120,1.00271533,.0002191,2.1010,81.9614,216.5254,294.4997,0,U,37605,999,5310,0,.97E-6,0
BEIDOU-2 IGSO-4 (C09),2011-038A,2026-06-05T00:18:51.599808,1.00287701,.0159001,54.5979,165.7814,231.3624,313.8818,0,U,37763,999,5452,0,.56E-6,0
GSAT0101 (GALILEO-PFM),2011-060A,2026-06-03T22:38:43.717056,1.70475864,.0003386,56.9986,342.1203,47.2042,312.8361,0,U,37846,999,9089,0,-.73E-6,0
GSAT0102 (GALILEO-FM2),2011-060B,2026-06-03T20:52:21.673920,1.70476132,.00035343,57.0019,342.1227,13.6110,346.7054,0,U,37847,999,9090,0,-.73E-6,0
COSMOS 2476 (744),2011-064A,2026-06-04T13:11:07.738368,2.13104008,.00230862,65.2634,73.2975,239.8731,309.4293,0,U,37867,999,11349,0,-.1E-6,0
COSMOS 2477 (745),2011-064B,2026-06-05T16:02:45.852864,2.13103229,.0020072,65.2705,73.3389,241.0452,267.2413,0,U,37868,999,11351,0,-.8E-7,0
COSMOS 2475 (743),2011-064C,2026-06-05T07:01:50.373696,2.13102052,.0025997,65.2772,73.3732,253.8433,281.4335,0,U,37869,999,11351,0,-.8E-7,0
BEIDOU-2 IGSO-5 (C10),2011-073A,2026-06-05T19:12:21.820320,1.00275734,.011348,47.7002,271.6885,221.7094,140.6659,0,U,37948,999,5302,0,-.158E-5,0
LUCH 5A (SDCM/PRN 140),2011-074B,2026-06-05T14:50:15.023616,1.00269901,.000245,8.7242,73.9780,10.4653,199.1840,0,U,37951,999,5293,0,-.38E-6,0
BEIDOU-2 G5 (C05),2012-008A,2026-06-05T20:38:08.232000,1.00269687,.0009573,3.5454,69.7660,276.3870,276.3697,0,U,38091,999,5225,0,.7E-6,0
BEIDOU-2 M3 (C11),2012-018A,2026-06-04T20:07:39.150912,1.86230159,.0019927,55.7694,305.2913,274.9392,84.8190,0,U,38250,999,9571,0,-.57E-6,0
BEIDOU-2 M4 (C12),2012-018B,2026-06-04T18:30:08.491968,1.86229610,.0011176,55.6694,304.5088,276.7033,83.1552,0,U,38251,999,9571,0,-.57E-6,0
SES-5 (EGNOS/PRN 136),2012-036A,2026-06-05T18:40:25.622112,1.00271205,.0002125,0.0512,309.0923,127.1160,103.0853,0,U,38652,999,4434,0,.46E-6,0
BEIDOU-2 M6 (C14),2012-050B,2026-06-05T00:25:27.959808,1.86231028,.0013929,56.5339,63.2969,355.3451,4.6688,0,U,38775,999,9308,0,-.39E-6,0
GSAT-10 (GAGAN/PRN 128),2012-051B,2026-06-05T19:14:30.353280,1.00272129,.0008051,0.0202,261.3867,187.1411,177.3582,0,U,38779,999,4998,0,-.153E-5,0
GPS BIIF-3  (PRN 24),2012-053A,2026-06-05T08:24:53.726112,2.00567345,.0179642,53.5837,144.0842,65.5892,296.2644,0,U,38833,999,9920,0,.76E-6,0
GSAT0103 (GALILEO-FM3),2012-055A,2026-06-05T03:46:28.789824,1.70473498,.0005166,55.7989,101.8756,302.6849,57.2312,0,U,38857,999,8480,0,.18E-6,0
BEIDOU-2 G6 (C02),2012-059A,2026-06-04T19:05:38.169888,1.00268404,.001017,4.3899,73.6573,326.9847,222.9289,0,U,38953,999,4978,0,-.163E-5,0
LUCH 5B (SDCM/PRN 125),2012-061A,2026-06-05T15:41:48.613632,1.00274212,.0001708,10.4565,49.9941,139.2840,283.9442,0,U,38977,999,4949,0,-.127E-5,0
COSMOS 2485 (747),2013-019A,2026-06-05T04:17:03.430752,2.13103447,.0023502,65.4134,74.0071,235.0569,124.7432,0,U,39155,999,10202,0,-.7E-7,0
