OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTELSAT 902 (IS-902),2001-039A,2026-07-01T12:04:45.951168,1.00272416,.00042762,6.1523,71.6085,27.0013,312.0253,0,U,26900,999,9083,0,-.277E-5,0
INTELSAT 904 (IS-904),2002-007A,2026-07-01T10:27:32.587776,1.00271894,.00063432,6.9534,69.0143,15.1246,320.7588,0,U,27380,999,5190,0,-.219E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-07-01T20:20:53.764800,1.00271741,.00035392,4.9131,75.1319,33.9193,5.9629,0,U,27426,999,8827,0,-.5E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-07-01T18:30:33.636960,1.00272219,.00040322,6.7880,69.6253,32.0997,318.5300,0,U,27438,999,5150,0,.1E-5,0
GALAXY 3C (G-3C),2002-030A,2026-07-01T13:18:58.449888,1.00272276,.00019454,3.7679,77.7949,28.1791,278.5502,0,U,27445,999,4663,0,-.145E-5,0
INTELSAT 906 (IS-906),2002-041A,2026-07-01T19:27:58.837824,1.00270414,.00040744,5.8387,72.7411,9.6610,193.5969,0,U,27513,999,8717,0,.2E-6,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-07-01T18:26:41.507808,1.00271906,.00016945,1.4562,83.6779,12.2659,310.5171,0,U,27954,999,4671,0,.142E-5,0
INTELSAT 10-02,2004-022A,2026-07-01T22:49:59.393568,1.00272189,.0000252,0.0383,267.9601,257.0879,96.4484,0,U,28358,999,8070,0,0,0
DIRECTV 8,2005-019A,2026-07-01T22:00:54.957600,1.00270577,.00033247,0.0192,23.0904,87.3324,20.7290,0,U,28659,999,7722,0,0,0
GALAXY 28 (G-28),2005-022A,2026-07-01T19:01:57.749664,1.00271136,.00026098,3.3344,78.7604,15.0071,84.4688,0,U,28702,999,5212,0,-.192E-5,0
GALAXY 16 (G-16),2006-023A,2026-07-01T22:06:46.895040,1.00271722,.00027736,0.0115,81.4534,14.8058,56.4067,0,U,29236,999,7312,0,-.116E-5,0
DIRECTV 9S,2006-043A,2026-07-01T22:06:09.455328,1.00271938,.0005398,2.4567,80.7345,22.9938,46.5815,0,U,29494,999,5153,0,-.105E-5,0
GALAXY 17 (G-17),2007-016B,2026-07-01T22:10:46.511616,1.00271341,.00040305,3.0070,79.7231,20.4112,67.5204,0,U,31307,999,6995,0,-.198E-5,0
INTELSAT 11 (IS-11),2007-044B,2026-07-01T21:09:49.533984,0.99047891,.00034341,3.6015,78.4988,88.2064,131.8359,0,U,32253,999,6859,0,.94E-6,0
HORIZONS-2,2007-063B,2026-07-01T22:55:14.224800,1.00269497,.00040633,2.6380,80.4539,12.2271,97.3030,0,U,32388,999,6796,0,-.244E-5,0
DIRECTV 11,2008-013A,2026-07-01T15:16:03.048096,1.00268968,.00003604,0.0138,260.0771,160.7014,348.7399,0,U,32729,999,4573,0,-.115E-5,0
GALAXY 18 (G-18),2008-024A,2026-07-01T21:59:47.564736,1.00272001,.00031915,0.0171,44.5007,61.3585,21.0499,0,U,32951,999,4600,0,.36E-6,0
GALAXY 19 (G-19),2008-045A,2026-07-01T22:07:24.334752,1.00271640,.00029339,0.0516,250.8599,224.7899,39.1666,0,U,33376,999,6505,0,-.129E-5,0
FM-5,2009-034A,2026-07-01T22:10:24.047616,1.00269984,.00008261,0.0326,279.3525,69.3747,177.6737,0,U,35493,999,4679,0,-.189E-5,0
INTELSAT 14 (IS-14),2009-064A,2026-07-01T20:39:35.743104,1.00269824,.00027199,0.0240,293.8026,169.9581,81.0393,0,U,36097,999,6075,0,-.263E-5,0
INTELSAT 15 (IS-15),2009-067A,2026-07-01T21:40:45.863904,1.00273159,.00025254,0.0120,331.1918,128.9447,230.1469,0,U,36106,999,4137,0,-.175E-5,0
