OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2026-06-20T07:18:58.176000,14.34218046,.0001888,86.3961,87.2531,88.0933,272.0479,0,U,41917,999,49365,.15722E-4,.64E-6,0
IRIDIUM 103,2017-003B,2026-06-20T07:00:42.253344,14.34218100,.0002252,86.3963,87.1582,77.6062,282.5386,0,U,41918,999,49367,.2276E-4,.84E-6,0
IRIDIUM 109,2017-003C,2026-06-20T07:09:50.242752,14.34218080,.000227,86.3963,87.2150,82.8400,277.3054,0,U,41919,999,49364,.14086E-4,.59E-6,0
IRIDIUM 102,2017-003D,2026-06-19T20:21:21.702240,14.34220414,.00022422,86.3962,87.3268,86.3510,273.7942,0,U,41920,999,49366,.68557904E-4,.212E-5,0
IRIDIUM 105,2017-003E,2026-06-20T10:25:57.284256,14.34217399,.000251,86.3962,55.5125,82.1327,278.0153,0,U,41921,999,49560,.57451E-4,.181E-5,0
IRIDIUM 104,2017-003F,2026-06-20T06:42:26.272800,14.34217984,.0002401,86.3963,87.1891,79.6294,280.5172,0,U,41922,999,49371,.13318E-4,.57E-6,0
IRIDIUM 114,2017-003G,2026-06-20T06:51:34.238880,14.34217653,.0002201,86.3963,87.1696,80.0689,280.0755,0,U,41923,999,49369,-.44811E-5,.7E-7,0
IRIDIUM 108,2017-003H,2026-06-20T04:11:21.746400,14.34220707,.00022481,86.3956,55.5112,86.4092,273.7360,0,U,41924,999,49553,.59531126E-4,.187E-5,0
IRIDIUM 112,2017-003J,2026-06-20T06:33:18.259200,14.34217216,.0002257,86.3958,87.0169,82.7525,277.3927,0,U,41925,999,49371,-.79622E-4,-.203E-5,0
IRIDIUM 111,2017-003K,2026-06-20T06:15:02.887776,14.34219109,.0002237,86.3960,87.0928,83.0207,277.1243,0,U,41926,999,49369,.67928E-4,.21E-5,0
IRIDIUM 113,2017-039A,2026-06-20T10:47:35.187648,14.34217806,.000227,86.3973,320.8144,89.2789,270.8667,0,U,42803,999,47165,.66597E-5,.38E-6,0
IRIDIUM 123,2017-039B,2026-06-20T10:06:50.866848,14.34217511,.0001863,86.3967,352.2849,87.4183,272.7226,0,U,42804,999,47041,-.48707E-5,.6E-7,0
IRIDIUM 120,2017-039C,2026-06-20T10:38:27.257856,14.34217694,.000206,86.3963,320.5991,96.6184,263.5246,0,U,42805,999,47164,.63582E-4,.198E-5,0
IRIDIUM 115,2017-039D,2026-06-20T10:42:53.711136,14.43277662,.0002005,86.4499,320.7270,92.4155,267.7275,0,U,42806,999,47473,.71235E-4,.26E-5,0
IRIDIUM 118,2017-039E,2026-06-20T10:52:30.853632,14.34217720,.0002204,86.3973,352.2697,89.0804,271.0645,0,U,42807,999,47041,.4905E-4,.157E-5,0
IRIDIUM 117,2017-039F,2026-06-20T11:19:54.890112,14.34217704,.0002007,86.3966,352.2193,87.5461,272.5964,0,U,42808,999,47044,.31566E-5,.29E-6,0
IRIDIUM 126,2017-039G,2026-06-20T05:14:34.719360,14.34217921,.0002201,86.3973,352.3763,87.4579,272.6868,0,U,42809,999,47038,.59351E-4,.186E-5,0
IRIDIUM 124,2017-039H,2026-06-20T09:07:35.575968,14.43279693,.00022,86.4485,289.0234,94.0030,266.1422,0,U,42810,999,47557,.74034E-4,.269E-5,0
IRIDIUM 128,2017-039J,2026-06-19T23:59:50.691264,14.34217482,.00019084,86.3962,23.9741,89.5163,270.6251,0,U,42811,999,47038,-.6593023E-5,.1E-7,0
IRIDIUM 121,2017-039K,2026-06-20T10:43:22.890144,14.34218028,.0002163,86.3972,352.3087,91.8638,268.2805,0,U,42812,999,47029,.40133E-4,.132E-5,0
IRIDIUM 133,2017-061A,2026-06-20T07:27:22.692384,14.34217626,.0002095,86.3967,23.9621,87.7082,272.4354,0,U,42955,999,45522,.15581E-4,.63E-6,0
IRIDIUM 100,2017-061B,2026-06-20T07:18:14.677056,14.34217708,.0002146,86.3966,23.8833,87.6495,272.4946,0,U,42956,999,45522,.23737E-4,.86E-6,0
IRIDIUM 122,2017-061C,2026-06-20T01:31:10.703712,14.34217582,.00020376,86.3962,23.9841,84.1816,275.9612,0,U,42957,999,45519,-.4210848E-5,.8E-7,0
IRIDIUM 129,2017-061D,2026-06-20T07:09:06.600384,14.34218627,.0002386,86.3967,23.9534,84.8459,275.3009,0,U,42958,999,45524,.28001E-4,.98E-6,0
IRIDIUM 119,2017-061E,2026-06-20T08:03:54.342432,14.34219640,.0002191,86.3967,23.9331,84.0903,276.0543,0,U,42959,999,45526,.51358E-4,.164E-5,0
IRIDIUM 107,2017-061F,2026-06-20T00:08:58.675488,14.34218101,.00019132,86.3967,24.0921,83.2895,276.8518,0,U,42960,999,45522,.56140995E-4,.177E-5,0
IRIDIUM 132,2017-061G,2026-06-20T06:59:58.628256,14.34218268,.0002143,86.3966,23.9523,85.6776,274.4665,0,U,42961,999,45526,.19333E-4,.74E-6,0
IRIDIUM 136,2017-061H,2026-06-20T07:45:39.205152,14.34217235,.0002249,86.3966,23.9454,92.8023,267.3430,0,U,42962,999,45528,.52337E-4,.166E-5,0
IRIDIUM 139,2017-061J,2026-06-20T07:54:46.689120,14.34217601,.0001972,86.3965,24.0052,88.6940,271.4482,0,U,42963,999,45529,-.11454E-5,.17E-6,0
IRIDIUM 125,2017-061K,2026-06-20T07:36:31.792032,14.34215545,.0002086,86.3970,24.0716,73.0592,287.0832,0,U,42964,999,45530,.56131E-4,.177E-5,0
IRIDIUM 135,2017-083A,2026-06-20T08:39:43.209792,14.34217748,.0002182,86.3968,320.6881,91.7844,268.3601,0,U,43070,999,44460,.11575E-4,.52E-6,0
IRIDIUM 138,2017-083B,2026-06-20T10:56:43.173600,14.34217598,.0002295,86.3981,320.3442,86.7945,273.3514,0,U,43071,999,44460,.73251E-5,.4E-6,0
IRIDIUM 116,2017-083C,2026-06-20T10:11:03.147072,14.34217502,.0001915,86.3962,320.6477,100.4565,259.6846,0,U,43072,999,44463,-.54342E-5,.5E-7,0
IRIDIUM 130,2017-083D,2026-06-20T09:25:22.579680,14.34220012,.0001949,86.3974,320.9363,93.8613,266.2806,0,U,43073,999,44457,.57032E-4,.179E-5,0
IRIDIUM 151,2017-083E,2026-06-20T10:29:19.220064,14.34217680,.0002145,86.3968,320.7000,93.1387,267.0054,0,U,43074,999,44460,.90478E-5,.45E-6,0
IRIDIUM 134,2017-083F,2026-06-20T09:43:39.159840,14.34218431,.0002099,86.3970,320.7214,92.4966,267.6470,0,U,43075,999,44456,.61567E-4,.192E-5,0
IRIDIUM 137,2017-083G,2026-06-20T10:01:55.194816,14.34217468,.0002244,86.3967,320.8092,103.8470,256.2976,0,U,43076,999,44463,-.70974E-5,0,0
IRIDIUM 141,2017-083H,2026-06-20T09:52:47.144928,14.34217440,.0002094,86.3962,320.6422,90.7699,269.3737,0,U,43077,999,44463,-.12927E-4,-.16E-6,0
IRIDIUM 153,2017-083J,2026-06-20T08:43:55.416576,14.34217910,.0002215,86.3962,289.1424,90.0153,270.1296,0,U,43078,999,44573,.13331E-4,.57E-6,0
IRIDIUM 131,2017-083K,2026-06-20T09:34:31.101312,14.34217700,.0002222,86.3972,320.8335,91.9806,268.1644,0,U,43079,999,44456,.2869E-4,.1E-5,0
IRIDIUM 144,2018-030A,2026-06-20T08:53:03.386976,14.34218182,.0002142,86.3961,289.0687,97.7546,262.3893,0,U,43249,999,43059,.67981E-4,.21E-5,0
IRIDIUM 149,2018-030B,2026-06-20T09:02:11.436864,14.34217939,.0002266,86.3959,289.0331,93.5706,266.5749,0,U,43250,999,43061,.17392E-4,.68E-6,0
IRIDIUM 157,2018-030C,2026-06-20T09:29:35.451744,14.34217878,.000221,86.3962,289.0785,94.1526,265.9923,0,U,43251,999,43059,.17534E-4,.69E-6,0
IRIDIUM 140,2018-030D,2026-06-20T09:56:59.413920,14.34218039,.0002149,86.3961,289.0831,94.4266,265.7176,0,U,43252,999,43065,.21911E-4,.81E-6,0
IRIDIUM 145,2018-030E,2026-06-20T09:38:43.410048,14.34217854,.0002064,86.3962,289.0607,102.1429,257.9998,0,U,43253,999,43058,.1544E-4,.63E-6,0
IRIDIUM 146,2018-030F,2026-06-20T09:11:19.315680,14.34217191,.0002133,86.3961,289.0808,97.8312,262.3126,0,U,43254,999,43059,.56275E-4,.177E-5,0
