OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SXM-11,2026-148A,2026-07-28T17:18:12.453408,1.00271690,.00018259,0.0758,265.2141,243.6390,296.5443,0,U,69728,999,45,0,.14E-6,0
HAIYANG-2E,2026-149A,2026-07-28T22:35:39.719616,13.79299567,.00015008,99.3452,216.6801,77.7305,282.4015,0,U,69737,999,371,.38988299E-4,-.4E-7,0
CZ-4B R/B,2026-149B,2026-07-28T23:23:20.986080,14.30071931,.0197671,99.3223,218.9787,290.2972,67.7062,0,U,69738,999,410,.52802255E-4,.11E-5,0
STARLINK-38033,2026-150A,2026-07-28T22:00:01.999584,15.75150199,.00013679,97.2832,49.0418,103.7182,13.0780,0,U,69739,999,549,.32080651E-3,.47907E-3,0
STARLINK-38076,2026-150B,2026-07-28T12:10:19.541568,15.75281140,.00012402,97.2826,48.4763,107.6217,252.5184,0,U,69740,999,541,.15729098E-2,.242209E-2,0
STARLINK-38074,2026-150C,2026-07-28T02:15:42.860448,15.75186913,.00012568,97.2834,48.1202,80.7979,279.3429,0,U,69741,999,535,.15407871E-2,.236126E-2,0
STARLINK-38041,2026-150D,2026-07-28T11:38:18.560256,15.75261195,.00015993,97.2847,48.5093,107.4118,252.7323,0,U,69742,999,541,.11967489E-2,.182809E-2,0
STARLINK-38087,2026-150E,2026-07-28T11:27:38.286144,15.75323096,.00014224,97.2834,48.5173,92.3367,267.8061,0,U,69743,999,541,.21984595E-2,.343288E-2,0
STARLINK-38078,2026-150F,2026-07-28T12:27:36.767520,15.75253438,.0000746,97.2844,48.6132,61.1388,298.9952,0,U,69744,999,542,.12008129E-2,.183379E-2,0
STARLINK-38047,2026-150G,2026-07-28T05:29:50.847072,15.75242891,.0001187,97.2843,48.2433,103.5668,256.5730,0,U,69745,999,537,.13682803E-2,.209522E-2,0
STARLINK-38046,2026-150H,2026-07-28T20:20:46.149504,15.75237205,.00020219,97.2843,48.9314,25.3983,334.7381,0,U,69746,999,547,.12298396E-2,.187786E-2,0
STARLINK-38067,2026-150J,2026-07-28T07:19:07.142592,15.75243578,.00016964,97.2828,48.2924,76.7319,283.4135,0,U,69747,999,538,.1322613E-2,.202361E-2,0
STARLINK-37988,2026-150K,2026-07-28T11:51:00.959904,15.75251821,.00009957,97.2847,48.4950,46.1510,313.9837,0,U,69748,999,541,.12524227E-2,.191435E-2,0
STARLINK-37987,2026-150L,2026-07-28T11:44:54.961728,15.75276492,.00019165,97.2832,48.5000,102.2533,257.8947,0,U,69749,999,541,.12190226E-2,.186419E-2,0
STARLINK-38037,2026-150M,2026-07-28T11:01:43.394592,15.75273557,.00017784,97.2818,48.5416,90.3724,269.7745,0,U,69750,999,541,.15955769E-2,.245724E-2,0
STARLINK-38049,2026-150N,2026-07-28T22:00:01.999584,15.75070964,.00012724,97.2835,49.0804,91.2767,113.5237,0,U,69751,999,549,.17386729E-2,.26608E-2,0
STARLINK-38029,2026-150P,2026-07-28T12:52:30.585504,15.75202193,.00011596,97.2835,48.5912,76.2341,283.9053,0,U,69752,999,542,.65539291E-3,.98816E-3,0
STARLINK-37965,2026-150Q,2026-07-28T02:21:50.406048,15.75121102,.00025024,97.2832,48.1141,88.1589,271.9962,0,U,69753,999,535,.16895745E-2,.258912E-2,0
STARLINK-38048,2026-150R,2026-07-28T22:00:01.999584,15.75628470,.00017466,97.2837,49.1087,103.5406,171.0922,0,U,69754,999,550,-.16587003E-1,-.2202628E-1,0
STARLINK-38006,2026-150S,2026-07-28T12:48:57.123072,15.75215918,.00017278,97.2827,48.5945,86.9533,273.1930,0,U,69755,999,542,.77359105E-3,.116983E-2,0
STARLINK-38036,2026-150T,2026-07-28T12:39:17.793792,15.75225699,.00010546,97.2835,48.6054,88.1140,272.0246,0,U,69756,999,542,.84756452E-3,.128404E-2,0
STARLINK-38058,2026-150U,2026-07-28T16:00:01.999584,15.75242447,.00014633,97.2829,48.7770,89.7726,38.2936,0,U,69757,999,546,-.88813427E-3,-.130892E-2,0
STARLINK-38066,2026-150V,2026-07-28T01:38:07.343520,15.75279026,.0000992,97.2831,48.1575,66.3509,293.7861,0,U,69758,999,535,.15134697E-2,.23277E-2,0
STARLINK-38035,2026-150W,2026-07-28T12:04:44.528160,15.75295988,.00008431,97.2843,48.6373,73.4629,286.6728,0,U,69759,999,542,.18065446E-2,.279623E-2,0
STARLINK-38056,2026-150X,2026-07-28T07:13:00.835968,15.75226675,.00013316,97.2836,48.4541,65.7265,294.4139,0,U,69760,999,539,.16689966E-2,.256853E-2,0
STARLINK-38069,2026-150Y,2026-07-28T12:15:25.047648,15.75268409,.00016079,97.2831,48.6282,114.7911,245.3521,0,U,69761,999,542,.14184817E-2,.217664E-2,0
STARLINK-38019,2026-150Z,2026-07-28T06:42:01.444032,15.75267899,.00019007,97.2855,48.3288,71.8548,288.2924,0,U,69762,999,538,.15098026E-2,.232077E-2,0
KUIPER-00258,2026-151A,2026-07-26T23:43:26.417280,15.34450083,.00110375,51.8684,123.7595,208.2399,151.7989,0,U,69763,999,382,.55209272E-3,.18398E-3,0
KUIPER-00526,2026-151B,2026-07-28T22:00:01.999584,15.22577916,.00047389,51.8854,114.4524,195.3197,33.5877,0,U,69764,999,425,-.86759418E-1,-.1859627E-1,0
KUIPER-00558,2026-151C,2026-07-28T09:27:32.338656,15.23282101,.00069453,51.8811,117.4172,195.4237,164.6533,0,U,69765,999,403,-.9420686E-2,-.220333E-2,0
KUIPER-00569,2026-151D,2026-07-28T22:00:01.999584,15.33688724,.00051707,51.8803,114.0711,195.0775,241.1378,0,U,69766,999,322,-.46077522E-1,-.1386801E-1,0
KUIPER-00589,2026-151E,2026-07-28T22:00:01.999584,15.28109488,.00047211,51.8830,114.3934,195.9852,50.1181,0,U,69767,999,476,-.3686226E-3,-.1059E-3,0
KUIPER-00598,2026-151F,2026-07-27T06:01:30.077184,15.33950386,.0008413,51.8647,122.5107,203.0284,157.0325,0,U,69768,999,386,.76328E-3,.2518E-3,0
KUIPER-00604,2026-151G,2026-07-28T18:11:04.367616,15.38271974,.0002753,51.8806,114.6478,149.3265,210.7884,0,U,69769,999,410,.99711584E-3,.37997E-3,0
KUIPER-00609,2026-151H,2026-07-28T00:53:16.329984,15.38134820,.00008422,51.8807,118.0690,95.3133,264.7951,0,U,69770,999,399,.10625762E-2,.40346E-3,0
KUIPER-00611,2026-151J,2026-07-27T03:05:53.215296,15.38748992,.00015874,51.8813,122.4779,146.3023,213.8065,0,U,69771,999,385,.71706526E-3,.27606E-3,0
KUIPER-00612,2026-151K,2026-07-28T22:00:01.999584,15.35272591,.00027239,51.8801,113.9659,179.4537,302.7294,0,U,69772,999,146,-.36745057E-1,-.1164024E-1,0
KUIPER-00614,2026-151L,2026-07-28T18:11:49.405344,15.38440206,.00026427,51.8817,114.6480,167.3578,192.7476,0,U,69773,999,410,.11991092E-2,.46077E-3,0
KUIPER-00615,2026-151M,2026-07-28T22:00:01.999584,15.29583492,.00061086,51.8821,114.3552,206.1638,98.5930,0,U,69774,999,296,-.46942806E-3,-.13997E-3,0
KUIPER-00616,2026-151N,2026-07-28T18:06:59.386464,15.38693187,.00018527,51.8799,114.6299,211.7278,148.3598,0,U,69775,999,410,.99405607E-3,.38408E-3,0
KUIPER-00617,2026-151P,2026-07-28T18:20:30.296256,15.38060359,.00040454,51.8801,114.6899,181.4467,178.6509,0,U,69776,999,410,.66208839E-3,.24882E-3,0
KUIPER-00619,2026-151Q,2026-07-28T22:00:01.999584,15.37195677,.0001861,51.8810,113.8128,125.9946,66.4153,0,U,69777,999,415,-.14593294E-3,-.5785E-4,0
KUIPER-00621,2026-151R,2026-07-27T18:44:38.170176,15.38584120,.00021026,51.8804,119.3515,154.0082,206.1011,0,U,69778,999,395,.77632391E-3,.29767E-3,0
KUIPER-00622,2026-151S,2026-07-28T22:00:01.999584,15.30257664,.00068478,51.8780,114.2978,199.9579,119.5448,0,U,69779,999,476,-.31273547E-3,-.9646E-4,0
KUIPER-00623,2026-151T,2026-07-28T22:00:01.999584,15.34094189,.00039231,51.8804,114.0650,183.9775,238.1290,0,U,69780,999,488,-.10141185E-3,-.3774E-4,0
KUIPER-00626,2026-151U,2026-07-28T17:50:25.491840,15.34437610,.00102168,51.8728,115.2778,213.3886,146.6457,0,U,69781,999,409,.5731801E-3,.19105E-3,0
KUIPER-00627,2026-151V,2026-07-28T05:24:27.541728,15.34417633,.00114958,51.8682,117.7979,217.0031,143.0162,0,U,69782,999,401,.14219691E-2,.48139E-3,0
KUIPER-00629,2026-151W,2026-07-28T22:00:01.999584,15.12054341,.00065233,51.8887,115.4112,231.0519,309.5296,0,U,69783,999,445,-.10446701E+0,-.1645926E-1,0
KUIPER-00631,2026-151X,2026-07-28T22:00:01.999584,15.10715178,.00079679,51.8866,115.3684,225.1451,308.7930,0,U,69784,999,185,-.10545074E+0,-.160521E-1,0
KUIPER-00634,2026-151Y,2026-07-28T22:00:01.999584,15.33416296,.00032357,51.8798,114.0008,191.8582,265.9104,0,U,69785,999,385,-.37416579E-1,-.112104E-1,0
KUIPER-00639,2026-151Z,2026-07-28T17:44:57.820704,15.34651756,.00089405,51.8671,115.2506,200.1825,159.8808,0,U,69786,999,409,.73614457E-3,.24826E-3,0
KUIPER-00641,2026-151AA,2026-07-28T00:49:59.379456,15.33501189,.00113329,51.8687,118.7698,213.5015,146.5254,0,U,69787,999,398,.14057678E-2,.46201E-3,0
KUIPER-00644,2026-151AB,2026-07-28T00:08:59.574048,15.36597172,.00075338,51.8762,118.5979,213.6922,146.3586,0,U,69788,999,397,.9359349E-3,.33749E-3,0
KUIPER-00646,2026-151AC,2026-07-28T22:00:01.999584,15.33897216,.00095533,51.8720,114.3607,220.7990,57.0654,0,U,69789,999,394,-.34918498E-3,-.12002E-3,0
KUIPER-00647,2026-151AD,2026-07-28T17:52:26.779296,15.34005756,.00108072,51.8672,115.2770,216.7671,143.2574,0,U,69790,999,409,.15600759E-2,.52177E-3,0
KUIPER-00662,2026-151AE,2026-07-28T22:00:01.999584,15.13549412,.00073622,51.8903,115.1349,215.1682,356.1654,0,U,69791,999,313,-.13391236E+0,-.2208292E-1,0
LINK,2026-152A,2026-07-28T08:24:52.786944,15.70719339,.00211223,20.5898,225.9503,171.3183,188.7631,0,U,69792,999,392,.16092459E-2,.217918E-2,0
2026-152B,2026-152B,2026-07-28T07:42:46.388736,15.66023874,.00228427,20.5960,226.7953,171.9050,188.1767,0,U,69793,999,391,.58606769E-3,.64963E-3,0
ISS OBJECT YJ,1998-067YJ,2026-07-28T18:42:53.964864,15.50833413,.00074551,51.6314,94.0586,356.3708,3.7226,0,U,69794,999,410,.62154064E-3,.36276E-3,0
ISS OBJECT YK,1998-067YK,2026-07-28T16:52:51.675168,15.52106784,.00058669,51.6313,94.3004,356.8569,3.2382,0,U,69795,999,409,.10344482E-2,.63723E-3,0
ISS OBJECT YL,1998-067YL,2026-07-28T23:09:55.236960,15.51577270,.00082212,51.6310,93.0475,355.8487,4.2433,0,U,69796,999,412,.80709857E-3,.48613E-3,0
ISS OBJECT YM,1998-067YM,2026-07-20T01:46:35.225184,15.50880460,.0009481,51.6311,137.1739,319.6197,40.4088,0,U,69797,999,273,.86101476E-3,.50643E-3,0
ISS OBJECT YN,1998-067YN,2026-07-28T23:14:35.337120,15.51063247,.00089076,51.6314,93.0693,1.5105,358.5909,0,U,69798,999,413,.55926363E-3,.32866E-3,0
PROVES-ELECTRA,1998-067YP,2026-07-28T09:14:11.584320,15.51585917,.00091773,51.6316,95.9217,345.9467,14.1266,0,U,69799,999,403,.82193346E-3,.49552E-3,0
QIANFAN-201,2026-153A,2026-07-28T21:12:27.006624,14.22100920,.00092551,88.9937,357.4743,137.2108,222.9805,0,U,69800,999,349,.19447656E-3,.445E-5,0
QIANFAN-202,2026-153B,2026-07-28T20:44:10.698144,14.18849643,.00081991,88.9937,357.4901,137.2349,222.9480,0,U,69801,999,348,.1759946E-3,.38E-5,0
QIANFAN-203,2026-153C,2026-07-28T22:07:05.528928,14.19394111,.00088054,88.9937,357.4801,138.5432,221.6428,0,U,69802,999,349,.17382779E-3,.38E-5,0
QIANFAN-204,2026-153D,2026-07-28T22:06:01.143648,14.20120040,.00092138,88.9937,357.4801,139.4162,220.7717,0,U,69803,999,349,.1750709E-3,.387E-5,0
QIANFAN-205,2026-153E,2026-07-28T20:32:22.994016,14.18487114,.00090481,88.9936,357.4885,137.5147,222.6744,0,U,69804,999,348,.1728254E-3,.371E-5,0
QIANFAN-206,2026-153F,2026-07-28T21:52:15.649536,14.18787108,.00092773,88.9937,357.4784,138.5654,221.6241,0,U,69805,999,349,.16096384E-3,.349E-5,0
QIANFAN-207,2026-153G,2026-07-28T21:39:37.310688,14.19836426,.00088269,88.9937,357.4772,135.9698,224.2197,0,U,69806,999,349,.17366697E-3,.382E-5,0
QIANFAN-208,2026-153H,2026-07-28T21:06:46.354752,14.22851828,.00099448,88.9936,357.4736,140.5992,219.5925,0,U,69807,999,349,.18451603E-3,.429E-5,0
QIANFAN-209,2026-153J,2026-07-28T21:48:17.767872,14.19696052,.00091156,88.9937,357.4780,136.6885,223.5023,0,U,69808,999,349,.17684262E-3,.388E-5,0
QIANFAN-210,2026-153K,2026-07-28T21:39:18.663840,14.19942038,.00093033,88.9938,357.4773,138.7242,221.4652,0,U,69809,999,349,.17567311E-3,.387E-5,0
