OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SAR-LUPE 2,2007-030A,2026-06-07T20:28:08.654016,15.48488119,.0008771,98.1024,262.1413,149.5428,210.6331,0,U,31797,999,5549,.18359E-3,.9663E-4,0
SAPPHIRE,2013-009C,2026-06-07T18:00:29.186784,14.35238045,.0009981,98.4259,338.4305,278.1547,81.8506,0,U,39088,999,69522,.61819E-4,.134E-5,0
PRAETORIAN SDA_602,2025-203A,2026-06-07T16:48:38.170656,13.84342061,.0005326,81.3037,19.5574,211.3203,148.7637,0,U,65565,999,3738,.29673E-4,.45E-6,0
PRAETORIAN SDA_603,2025-203B,2026-06-07T17:22:44.900256,13.83904900,.0008808,81.3045,19.4459,214.4445,145.6142,0,U,65566,999,3739,.16464E-3,.194E-5,0
PRAETORIAN SDA_604,2025-203C,2026-06-07T17:42:41.857344,13.83046879,.0004827,81.3060,19.8302,219.5342,140.5462,0,U,65567,999,3737,.96233E-4,.117E-5,0
PRAETORIAN SDA_605,2025-203D,2026-06-07T16:56:34.517184,13.83433715,.000761,81.3024,19.5322,209.9036,150.1687,0,U,65568,999,3738,.5608E-4,.74E-6,0
PRAETORIAN SDA_606,2025-203E,2026-06-07T16:31:10.747776,13.83406619,.0005245,81.3060,19.7663,208.3417,151.7455,0,U,65569,999,3737,.52183E-4,.69E-6,0
PRAETORIAN SDA_607,2025-203F,2026-06-07T16:51:24.393024,13.84283861,.0008241,81.3045,19.4312,214.5374,145.5248,0,U,65570,999,3739,.15869E-3,.189E-5,0
PRAETORIAN SDA_608,2025-203G,2026-06-07T16:14:15.099360,13.83816260,.0005336,81.3012,19.6129,218.7419,141.3355,0,U,65571,999,3737,.67336E-4,.86E-6,0
PRAETORIAN SDA_609,2025-203H,2026-06-07T16:25:31.829952,13.84284714,.0006295,81.3057,19.5908,211.6015,148.4764,0,U,65572,999,3738,.13804E-3,.166E-5,0
PRAETORIAN SDA_610,2025-203J,2026-06-07T17:29:33.600768,13.83851307,.0005992,81.3014,19.5229,216.0266,144.0488,0,U,65573,999,3738,.39159E-4,.55E-6,0
PRAETORIAN SDA_611,2025-203K,2026-06-07T17:25:20.684640,13.83308854,.0004936,81.3017,19.6827,221.9828,138.0951,0,U,65574,999,3737,.43061E-4,.59E-6,0
PRAETORIAN SDA_612,2025-203L,2026-06-07T17:27:23.270688,13.85038892,.0008626,81.3033,19.2917,213.3006,146.7609,0,U,65575,999,3740,.22721E-3,.269E-5,0
PRAETORIAN SDA_613,2025-203M,2026-06-07T17:29:42.180288,13.82764393,.0005086,81.3006,19.6703,211.2860,148.7994,0,U,65576,999,3737,.35102E-4,.5E-6,0
PRAETORIAN SDA_614,2025-203N,2026-06-07T17:09:14.406048,13.84777780,.0006548,81.3020,19.3788,210.6834,149.3941,0,U,65577,999,3740,.46017E-4,.64E-6,0
PRAETORIAN SDA_615,2025-203P,2026-06-07T16:32:35.353248,13.84435646,.0008452,81.3030,19.3605,212.5443,147.5194,0,U,65578,999,3739,.12926E-3,.157E-5,0
PRAETORIAN SDA_616,2025-203Q,2026-06-07T17:23:48.293664,13.83267745,.0004835,81.3067,19.8231,219.7994,140.2808,0,U,65579,999,3737,.15784E-3,.185E-5,0
PRAETORIAN SDA_617,2025-203R,2026-06-07T16:09:35.311104,13.83149985,.0006792,81.3043,19.7030,211.1713,148.9041,0,U,65580,999,3737,.46614E-4,.63E-6,0
PRAETORIAN SDA_618,2025-203S,2026-06-07T17:30:03.312864,13.84669384,.0009111,81.3026,19.2567,214.3882,145.6686,0,U,65581,999,3740,.24353E-3,.286E-5,0
PRAETORIAN SDA_619,2025-203T,2026-06-07T16:29:12.528384,13.83804875,.0007591,81.3051,19.5777,212.6734,147.3953,0,U,65582,999,3801,.14044E-3,.167E-5,0
PRAETORIAN SDA_620,2025-203U,2026-06-07T17:07:39.629568,13.83616950,.0007135,81.3036,19.5722,207.5558,152.5221,0,U,65583,999,3738,.17878E-3,.209E-5,0
PRAETORIAN SDA_621,2025-203V,2026-06-07T16:31:43.116672,13.83800712,.000688,81.3026,19.5173,205.4115,154.6704,0,U,65584,999,3738,.71092E-4,.91E-6,0
PRAETORIAN SDA_601,2025-203W,2026-06-07T15:43:10.113024,13.83166671,.0004848,81.3047,19.8338,224.8353,135.2412,0,U,65585,999,3736,.37457E-3,.422E-5,0
