OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ONEWEB-0012,2019-010A,2026-06-15T13:56:59.476416,13.16594703,.00019959,87.9096,229.1044,85.5359,274.6000,0,U,44057,999,35135,-.12592678E-3,-.35E-6,0
ONEWEB-0010,2019-010B,2026-06-15T14:33:28.085184,13.16594501,.00018254,87.9097,229.0950,106.9838,253.1493,0,U,44058,999,35140,-.60085546E-4,-.1E-6,0
ONEWEB-0008,2019-010C,2026-06-15T13:20:30.490944,13.16595515,.00023124,87.9097,229.1005,98.5783,261.5610,0,U,44059,999,35151,-.606902E-6,.13E-6,0
ONEWEB-0007,2019-010D,2026-06-15T12:19:41.015424,13.15548771,.00016734,87.9001,259.5546,97.9135,262.2186,0,U,44060,999,35115,-.34365912E-3,-.117E-5,0
ONEWEB-0006,2019-010E,2026-06-15T12:25:22.280736,13.15548877,.00018556,87.9013,259.5178,103.2640,256.8698,0,U,44061,999,35120,-.28445445E-3,-.94E-6,0
ONEWEB-0011,2019-010F,2026-06-15T11:39:44.234496,13.15547323,.00020549,87.9015,259.5337,105.5228,254.6130,0,U,44062,999,35119,.33902543E-3,.14E-5,0
ONEWEB-0013,2020-008A,2026-06-15T04:24:02.030112,13.09460253,.00023207,87.8524,53.2301,55.6009,304.5337,0,U,45131,999,30580,-.15612999E-2,-.525E-5,0
ONEWEB-0017,2020-008B,2026-06-15T13:10:28.234560,13.10373327,.00016576,87.8834,36.5953,87.7515,272.3803,0,U,45132,999,30773,.20738448E-2,.737E-5,0
ONEWEB-0020,2020-008C,2026-06-11T02:10:21.029952,13.10181111,.00025391,87.8849,37.4818,39.3679,320.7632,0,U,45133,999,30754,-.7276454E-1,-.25249E-3,0
ONEWEB-0021,2020-008D,2026-06-15T14:38:53.711232,13.10376583,.00017243,87.8835,36.5974,79.4251,280.7070,0,U,45134,999,30844,.27775335E-3,.11E-5,0
ONEWEB-0023,2020-008F,2026-06-15T13:04:29.792928,13.10374385,.00019195,87.8840,36.5924,79.6030,280.5313,0,U,45136,999,30786,.17013752E-2,.607E-5,0
ONEWEB-0024,2020-008G,2026-06-15T14:15:10.699776,13.10373986,.00017785,87.8845,36.5755,83.4536,276.6794,0,U,45137,999,30803,-.17028143E-2,-.582E-5,0
ONEWEB-0025,2020-008H,2026-06-15T14:14:46.858560,13.10374076,.00022337,87.8847,36.5651,91.7036,268.4348,0,U,45138,999,30836,-.16299982E-2,-.556E-5,0
ONEWEB-0026,2020-008J,2026-06-15T13:21:05.612544,13.11417871,.00018079,87.8887,21.3930,90.2852,269.8483,0,U,45139,999,31089,-.11941016E-2,-.411E-5,0
ONEWEB-0028,2020-008K,2026-06-15T14:35:33.525888,13.11413382,.00020179,87.8882,21.3912,68.8202,291.3142,0,U,45140,999,30841,-.19675497E-3,-.57E-6,0
ONEWEB-0032,2020-008L,2026-06-15T13:13:03.738144,13.10372613,.00020245,87.8835,36.5964,70.1522,289.9824,0,U,45141,999,30808,.19670419E-2,.699E-5,0
ONEWEB-0033,2020-008M,2026-06-15T14:26:56.146272,13.10375781,.00015799,87.8834,36.5938,98.2909,261.8397,0,U,45142,999,30800,-.79619384E-3,-.265E-5,0
ONEWEB-0035,2020-008N,2026-06-15T14:55:51.022848,13.10375389,.00017224,87.8834,36.5824,84.8137,275.3187,0,U,45143,999,30773,.17972077E-2,.64E-5,0
ONEWEB-0036,2020-008P,2026-06-15T14:19:19.382304,13.09983972,.00019484,87.8851,36.5991,77.6366,282.4979,0,U,45144,999,30815,-.14737811E-2,-.499E-5,0
ONEWEB-0038,2020-008Q,2026-06-15T13:35:57.486912,13.11419044,.00005125,87.8903,21.3995,15.6184,344.4959,0,U,45145,999,31011,.11103443E-3,.52E-6,0
ONEWEB-0039,2020-008R,2026-06-15T14:31:43.728672,13.10375965,.000195,87.8835,36.5833,66.8436,293.2897,0,U,45146,999,30795,-.36630277E-3,-.115E-5,0
ONEWEB-0040,2020-008S,2026-06-15T14:22:09.134112,13.10375393,.00016897,87.8834,36.5956,79.7517,280.3801,0,U,45147,999,30765,-.11767226E-2,-.398E-5,0
ONEWEB-0043,2020-008U,2026-06-15T14:24:32.803488,13.10375826,.00020323,87.8841,36.5826,66.8480,293.2861,0,U,45149,999,30797,-.10510513E-2,-.354E-5,0
ONEWEB-0044,2020-008V,2026-06-15T13:15:15.308064,13.10371955,.00017881,87.8840,36.5925,76.4654,283.6672,0,U,45150,999,30826,.19088664E-2,.679E-5,0
ONEWEB-0045,2020-008W,2026-06-15T13:28:25.786848,13.11419712,.00017669,87.8899,21.3832,81.0721,279.0607,0,U,45151,999,31019,-.5123301E-3,-.169E-5,0
ONEWEB-0047,2020-008X,2026-06-15T14:55:26.813568,13.10375096,.00015939,87.8840,36.5782,84.4323,275.6986,0,U,45152,999,30799,.18043527E-2,.643E-5,0
ONEWEB-0048,2020-008Y,2026-06-15T14:48:28.023264,13.10375737,.0001728,87.8835,36.6004,82.5894,277.5430,0,U,45153,999,30760,.12840489E-2,.461E-5,0
ONEWEB-0049,2020-008Z,2026-06-15T13:03:06.463584,13.10374681,.00022305,87.8832,36.6045,81.7672,278.3708,0,U,45154,999,30781,.16844095E-2,.601E-5,0
ONEWEB-0051,2020-008AA,2026-06-15T13:26:00.057696,13.11419044,.00018163,87.8890,21.3913,84.3121,275.8214,0,U,45155,999,31087,-.67799637E-3,-.228E-5,0
ONEWEB-0052,2020-008AB,2026-06-15T13:32:10.795776,13.10369856,.00022473,87.8833,36.5861,81.1721,278.9661,0,U,45156,999,30772,.93512595E-3,.339E-5,0
ONEWEB-0053,2020-008AC,2026-06-15T14:19:45.867360,13.10374840,.00021342,87.8832,36.6015,71.9334,288.2026,0,U,45157,999,30770,-.14333278E-2,-.488E-5,0
ONEWEB-0054,2020-008AD,2026-06-15T13:20:02.053248,13.10371211,.00018739,87.8841,36.5920,83.1116,277.0225,0,U,45158,999,30781,.18429557E-2,.656E-5,0
ONEWEB-0056,2020-008AE,2026-06-15T14:29:09.296448,13.10378386,.00020047,87.8844,36.5765,89.3155,270.8202,0,U,45159,999,30797,-.63183225E-3,-.208E-5,0
ONEWEB-0057,2020-008AF,2026-06-15T09:23:35.433312,13.10374408,.00021638,87.8839,36.6309,71.8157,288.3206,0,U,45160,999,30811,.16854678E-2,.601E-5,0
ONEWEB-0058,2020-008AG,2026-06-15T14:34:19.031808,13.10376029,.00015788,87.8834,36.5942,82.8811,277.2496,0,U,45161,999,30821,-.97767429E-4,-.21E-6,0
ONEWEB-0059,2020-008AH,2026-06-15T14:29:31.961760,13.10376229,.00016761,87.8834,36.5937,77.0037,283.1277,0,U,45162,999,30811,-.53504511E-3,-.174E-5,0
ONEWEB-0062,2020-008AJ,2026-06-15T09:32:45.449664,13.10373029,.00014554,87.8840,36.6218,93.5029,266.6264,0,U,45163,999,30795,.22362641E-2,.793E-5,0
ONEWEB-0065,2020-008AK,2026-06-15T14:00:26.418240,13.10371219,.00021487,87.8838,36.5927,80.5717,279.5653,0,U,45164,999,30767,-.141663E-2,-.482E-5,0
ONEWEB-0066,2020-020A,2026-06-15T13:04:00.308064,13.11415574,.00017016,87.8887,21.3981,80.9487,279.1834,0,U,45424,999,30246,-.13594192E-2,-.469E-5,0
ONEWEB-0067,2020-020B,2026-06-15T13:58:35.986080,13.11424434,.00019551,87.8908,21.3123,81.9586,278.1764,0,U,45425,999,30252,.16278684E-2,.59E-5,0
ONEWEB-0080,2020-020C,2026-06-15T13:57:56.845152,13.11417889,.00015765,87.8899,21.3870,92.9983,267.1325,0,U,45426,999,30249,.16409874E-2,.594E-5,0
ONEWEB-0090,2020-020D,2026-06-15T14:39:26.017056,13.11414077,.0001762,87.8896,21.3856,87.2410,272.8919,0,U,45427,999,30246,-.55894122E-3,-.185E-5,0
