OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ORBCOMM FM06,1997-084G,2026-07-12T07:49:59.704608,14.47623379,.00013418,45.0142,291.6869,223.9962,167.8068,0,U,25118,999,49803,.18330889E-3,.536E-5,0
ORBCOMM FM04,1998-007C,2026-07-14T00:13:40.725696,14.35783274,.0041952,107.9633,224.6256,278.8963,80.7429,0,U,25159,999,48044,.16504E-3,.349E-5,0
ORBCOMM FM19,1998-046C,2026-07-14T03:54:23.378112,14.39540374,.0003277,44.9932,115.3303,55.9416,83.6724,0,U,25415,999,46066,.18386E-3,.436E-5,0
ORBCOMM FM20,1998-046D,2026-07-12T05:31:50.257056,14.38097395,.000168,44.9931,132.7157,341.6287,18.4501,0,U,25416,999,46039,.15202E-3,.323E-5,0
ORBCOMM FM27,1998-053G,2026-07-11T11:36:25.088544,14.39181226,.00024412,45.0035,219.9500,278.1343,81.9229,0,U,25481,999,45373,.15259703E-3,.334E-5,0
ORBCOMM FM32,1999-065C,2026-07-13T23:37:08.724000,14.37167121,.0005566,45.0157,46.3955,186.3791,173.6987,0,U,25982,999,39094,.13828E-3,.273E-5,0
ORBCOMM FM109,2014-040A,2026-07-13T07:53:27.108672,14.58871574,.0001579,47.0045,327.8904,316.6672,43.4090,0,U,40086,999,63816,.63381599E-4,.128E-5,0
ORBCOMM FM110,2015-081D,2026-07-14T02:05:14.722944,14.58917166,.0003559,47.0007,234.2501,218.6443,141.4189,0,U,41182,999,56155,.70352E-4,.161E-5,0
ORBCOMM FM118,2015-081E,2026-07-13T03:54:09.220608,14.58902986,.00027903,47.0027,238.9585,176.7782,183.3122,0,U,41183,999,56152,.52835088E-4,.78E-6,0
ORBCOMM FM112,2015-081F,2026-07-14T04:39:13.263264,14.58937849,.0003747,46.9979,142.5348,324.3551,35.7084,0,U,41184,999,56289,.10101E-3,.307E-5,0
ORBCOMM FM113,2015-081G,2026-07-13T23:11:02.931360,14.58881339,.0002291,46.9998,144.0028,316.8061,43.2645,0,U,41185,999,56284,.61583E-4,.12E-5,0
ORBCOMM FM108,2015-081J,2026-07-13T23:54:58.526208,14.58909612,.0002725,47.0054,55.4394,317.7422,42.3254,0,U,41187,999,56399,.95665E-4,.281E-5,0
ORBCOMM FM117,2015-081K,2026-07-14T00:44:14.178624,14.58896753,.0003142,47.0017,53.9050,325.0057,35.0622,0,U,41188,999,56404,.91426E-4,.261E-5,0
ORBCOMM FM116,2015-081L,2026-07-13T06:10:51.074112,14.58904456,.0001541,47.0013,147.3497,225.9507,134.1252,0,U,41189,999,56274,.50849E-4,.69E-6,0
