OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-07-14T23:44:29.821056,14.46128596,.0042088,24.9704,35.9128,72.3680,59.1600,0,U,22490,999,76514,.29804E-4,.294E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-07-14T22:49:09.954624,14.24433340,.0002175,99.0085,189.4117,114.9231,245.2173,0,U,25397,999,45528,.22291E-4,.5E-7,0
SCD 2,1998-060A,2026-07-15T04:31:15.752928,14.45534773,.0016968,24.9945,259.4789,59.4612,325.6793,0,U,25504,999,46438,.25739E-4,.274E-5,0
DLR-TUBSAT,1999-029B,2026-07-14T23:41:38.806080,14.52433234,.0012968,98.6710,192.4079,265.3841,94.5872,0,U,25757,999,43728,.12432E-4,.2E-7,0
TERRA,1999-068A,2026-07-15T03:59:30.074784,14.61123699,.000341,97.9442,244.6011,122.7837,312.7683,0,U,25994,999,41369,.47727E-4,.19E-5,0
MAROC-TUBSAT,2001-056D,2026-07-15T02:58:32.201184,13.70263555,.0020598,99.8098,13.5120,72.2618,41.0027,0,U,27004,999,23001,.12271E-4,-.36E-6,0
AQUA,2002-022A,2026-07-14T12:07:11.762400,14.62196472,.0000927,98.4295,165.3370,111.8770,0.7592,0,U,27424,999,28726,.80863616E-4,.358E-5,0
SHIYAN-1 (SY-1),2004-012A,2026-07-15T03:58:13.016352,15.34452999,.000408,97.8691,276.0648,274.6395,85.4380,0,U,28220,999,21538,.24962E-3,.8244E-4,0
AURA,2004-026A,2026-07-15T03:03:31.063104,14.61367688,.0001321,98.3430,152.8150,93.4412,266.6940,0,U,28376,999,17029,.79069E-4,.343E-5,0
IRS-P5 (CARTOSAT-1),2005-017A,2026-07-15T01:29:06.571104,14.91116936,.0001407,97.5306,217.8618,54.2010,305.9339,0,U,28649,999,14797,.74751E-4,.689E-5,0
SINAH 1,2005-043D,2026-07-15T05:02:04.872768,14.64175469,.0014397,98.2893,330.7019,183.4670,176.6434,0,U,28893,999,10462,.33632E-4,.128E-5,0
RESURS-DK 1,2006-021A,2026-07-14T14:23:11.394816,15.13317802,.0007075,69.9308,268.5885,271.7724,88.2632,0,U,29228,999,10672,.57623E-4,.92E-5,0
ARIRANG-2 (KOMPSAT-2),2006-031A,2026-07-15T04:18:01.169280,14.64675479,.0014268,97.8306,19.2721,350.9312,140.9472,0,U,29268,999,6557,.25787E-4,.92E-6,0
LAPAN-TUBSAT,2007-001A,2026-07-15T04:47:06.110592,14.85974266,.001356,98.1345,196.0563,93.6368,266.6397,0,U,29709,999,5531,-.33372E-4,-.35E-5,0
HAIYANG-1B,2007-010A,2026-07-14T21:40:24.524832,14.31033298,.0014621,98.3515,176.6758,116.5671,243.7013,0,U,31113,999,460,.27533E-4,.31E-6,0
