OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HST,1990-037B,2026-07-19T08:18:21.937536,15.31084694,.00021472,28.4721,220.7198,143.8470,216.2271,0,U,20580,999,79350,.89068087E-4,.2982E-4,0
POLAR,1996-013A,2026-07-18T14:48:10.595520,1.29846053,.65018912,79.8974,226.6789,207.9968,91.9609,0,U,23802,999,14526,0,.158E-5,0
SWAS,1998-071A,2026-07-19T19:30:45.358272,15.09763582,.000761,69.8945,143.3731,225.4331,134.6212,0,U,25560,999,50219,.10084E-3,.1526E-4,0
CXO,1999-040B,2026-07-22T18:10:50.381184,0.37802047,.7776511,56.6521,115.7082,309.9609,0.5575,0,U,25867,999,1745,0,.588E-5,0
XMM-NEWTON,1999-066A,2026-07-20T06:14:17.625408,0.50127970,.46645709,64.3074,282.5600,64.3171,0.0365,0,U,25989,999,2316,0,-.7E-7,0
TERRA,1999-068A,2026-07-19T19:54:58.392000,14.61125686,.0003572,97.9437,249.0788,113.7703,357.4701,0,U,25994,999,41437,.40135E-4,.153E-5,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-07-20T14:26:37.417344,0.44850593,.9091714,149.8020,56.9135,274.4939,359.4480,0,U,26410,999,2046,0,.10308E-3,-.30415E-5
CLUSTER II-FM8 (TANGO),2000-045B,2026-07-18T22:53:06.822816,0.44421506,.909539,150.0065,57.8200,275.2268,2.0610,0,U,26464,999,2045,0,.14903E-3,-.89736E-5
ODIN,2001-007A,2026-07-19T07:58:31.999584,15.91901794,.00049841,97.3680,243.6758,151.8712,208.2832,0,U,26702,999,39448,.91388798E-3,.298908E-2,.35582702E-4
TIMED,2001-055B,2026-07-19T15:46:16.198752,14.95349693,.0002338,74.0669,169.6374,295.5776,64.5166,0,U,26998,999,33567,.49791E-4,.509E-5,0
CORIOLIS,2003-001A,2026-07-19T18:02:48.107616,14.19952562,.0015088,98.7136,207.1406,117.0435,243.2283,0,U,27640,999,21884,.34792E-4,.3E-6,0
SORCE,2003-004A,2026-07-19T00:23:46.571136,15.03852593,.00187557,39.9916,80.0556,280.0785,79.7893,0,U,27651,999,27669,.98976623E-4,.1237E-4,0
MOST,2003-031D,2026-07-19T10:52:14.543904,14.21328228,.00103383,98.7055,207.7296,153.2811,206.8901,0,U,27843,999,19529,.25122926E-4,.11E-6,0
SCISAT 1,2003-036A,2026-07-19T20:12:33.774048,14.81481808,.000714,73.9302,106.4622,173.3079,186.8194,0,U,27858,999,23628,.38082E-4,.262E-5,0
SWIFT,2004-047A,2026-07-19T14:12:35.756064,15.71507596,.0002558,20.5521,294.3367,73.2137,286.8590,0,U,28485,999,19196,.28094E-3,.38819E-3,0
HINODE (SOLAR-B),2006-041A,2026-07-19T11:30:25.142688,14.68661071,.00173874,98.0548,216.1562,180.6910,179.4274,0,U,29479,999,5961,.52139192E-4,.255E-5,0
SHIJIAN-6 02A (SJ-6 02A),2006-046A,2026-07-19T20:55:16.089600,15.17270617,.0003968,97.6338,242.1881,53.0340,307.1255,0,U,29505,999,7722,.10302E-3,.1982E-4,0
SHIJIAN-6 02B (SJ-6 02B),2006-046B,2026-07-19T20:51:43.689888,15.01441048,.0012808,97.7139,229.7252,319.5779,40.4492,0,U,29506,999,7564,.18302E-4,.175E-5,0
FGRST (GLAST),2008-029A,2026-07-19T18:28:20.148096,15.24091104,.0008027,25.5829,338.2197,354.7028,5.3425,0,U,33053,999,66,.57896E-4,.1783E-4,0
SDO,2010-005A,2026-07-19T05:47:12.515712,1.00277469,.00017212,34.7163,85.8540,43.5863,152.2121,0,U,36395,999,6038,0,-.94E-6,0
CRYOSAT 2,2010-013A,2026-07-19T19:38:46.803264,14.51899274,.0002456,92.0356,285.2345,98.8465,261.3021,0,U,36508,999,86281,.14712E-4,.62E-6,0
X-SAT,2011-015C,2026-07-19T20:54:08.163648,14.25213742,.0012777,98.3537,176.3412,245.5515,114.4333,0,U,37389,999,79233,-.73267E-4,-.214E-5,0
GCOM-W1 (SHIZUKU),2012-025A,2026-07-19T18:43:47.913024,14.57092276,.0001278,98.2024,140.8431,79.4804,301.8811,0,U,38337,999,75378,.50281E-4,.181E-5,0
NUSTAR,2012-031A,2026-07-19T22:00:00.999072,15.09065055,.0008631,6.0249,148.5732,240.6645,287.8429,0,U,38358,999,130,.2033E-3,.4179E-4,0
NEOSSAT,2013-009D,2026-07-19T11:22:56.998848,14.35836469,.0011687,98.4193,19.7415,145.1253,215.0701,0,U,39089,999,70137,.3028277E-4,.45E-6,0
BRITE-AUSTRIA,2013-009F,2026-07-19T17:39:00.516096,14.36553479,.0011001,98.4013,19.3683,138.0696,222.1335,0,U,39091,999,70172,.33534E-4,.56E-6,0
IRIS,2013-033A,2026-07-19T11:42:40.552704,14.85941630,.00236102,97.9318,39.6631,210.3759,149.6090,0,U,39197,999,70517,.57185042E-4,.445E-5,0
HISAKI (SPRINT-A),2013-049A,2026-07-19T07:30:31.415040,13.55546963,.01369727,29.7218,56.6784,277.2426,81.2594,0,U,39253,999,63578,.31398531E-4,.9E-6,0
CASSIOPE,2013-055A,2026-07-19T19:16:33.792960,15.27570999,.0282017,80.9136,27.0224,312.2468,45.5146,0,U,39265,999,67264,.16325E-3,.15261E-3,-.52751E-6
STSAT-3,2013-066G,2026-07-19T20:54:42.754752,15.02903327,.0008815,97.6209,170.2322,286.2860,73.7395,0,U,39422,999,68911,.13332E-3,.173E-4,0
SWARM B,2013-067A,2026-07-19T19:11:41.246880,15.28734168,.000221,87.7465,332.4103,87.1544,272.9958,0,U,39451,999,68822,.64141E-4,.1827E-4,0
SWARM A,2013-067B,2026-07-19T19:07:43.301280,15.51511977,.0003338,87.3300,44.1135,92.0320,268.1324,0,U,39452,999,71130,.97671E-4,.5815E-4,0
SWARM C,2013-067C,2026-07-19T19:07:35.412096,15.51511513,.0003323,87.3300,42.6943,91.6875,268.4767,0,U,39453,999,71126,.99195E-4,.5905E-4,0
BRITE-CA1 (TORONTO),2014-033L,2026-07-19T07:27:57.492576,14.72727256,.00787895,97.9776,328.6539,173.0970,187.1343,0,U,40020,999,64694,.8628879E-4,.524E-5,0
OCO 2,2014-035A,2026-07-19T20:12:21.176064,14.57134252,.0001413,98.2020,141.6393,80.6967,279.4391,0,U,40059,999,64080,.49446E-4,.178E-5,0
BRITE-PL2 (HEWELIUSZ),2014-049B,2026-07-19T18:36:26.620704,14.94693226,.0013872,97.9121,313.0328,7.3267,352.8153,0,U,40119,999,64631,.73988E-4,.744E-5,0
MMS 1,2015-011A,2026-07-19T22:00:00.999072,0.28304316,.8300674,72.4968,348.4132,168.1738,37.1707,0,U,40482,999,137,0,-.127E-4,0
MMS 2,2015-011B,2026-07-19T22:00:00.999072,0.28304258,.8303489,72.5008,348.4122,168.1765,37.1573,0,U,40483,999,137,0,-.127E-4,0
MMS 3,2015-011C,2026-07-19T22:00:00.999072,0.28304187,.8301858,72.5005,348.4240,168.1843,37.1312,0,U,40484,999,134,0,-.1269E-4,0
MMS 4,2015-011D,2026-07-19T22:00:00.999072,0.28304220,.8301813,72.4960,348.4075,168.1942,37.1270,0,U,40485,999,137,0,-.127E-4,0
