OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
LEMUR-1,2014-033AL,2026-07-21T15:37:48.107136,14.85349700,.00472517,97.7917,351.7008,326.4372,33.3852,0,U,40044,999,65058,.1369179E-3,.1145E-4,0
LEMUR-2-GREENBERG,2017-042N,2026-07-22T11:48:19.648512,15.32320338,.00076036,97.3841,23.9842,229.2451,130.8131,0,U,42837,999,49379,.57475196E-3,.17895E-3,0
LEMUR-2-ANDIS,2017-042P,2026-07-22T13:36:27.267264,15.36149661,.0007579,97.3692,24.3717,228.2076,131.8522,0,U,42838,999,49388,.66221889E-3,.23306E-3,0
LEMUR-2-MONSON,2017-042Q,2026-07-22T12:18:27.116640,15.28902662,.00058242,97.4103,23.9214,215.4164,144.6689,0,U,42839,999,49356,.62768983E-3,.1758E-3,0
LEMUR-2-FURIAUS,2017-042R,2026-07-21T23:41:08.140128,15.31284337,.00056409,97.3788,21.3574,300.5579,59.5105,0,U,42840,999,49353,.60292314E-3,.18172E-3,0
LEMUR-2-PETERG,2017-042S,2026-07-22T07:28:31.725984,15.35223729,.0003874,97.4004,28.4368,191.0244,169.0915,0,U,42841,999,49382,.66383213E-3,.22664E-3,0
LEMUR-2-DEMBITZ,2017-042T,2026-07-22T00:09:43.918848,15.31253266,.00052746,97.3839,24.4256,243.5314,116.5387,0,U,42842,999,49367,.58479899E-3,.17604E-3,0
LEMUR-2-ZACHARY,2017-042W,2026-07-22T06:27:31.082400,15.53224971,.00030435,97.3582,35.7273,215.6332,144.4718,0,U,42845,999,49464,.90129545E-3,.56885E-3,0
LEMUR-2-AMANDA-SVANTE,2021-034B,2026-07-22T11:39:56.502432,15.36294018,.00047672,97.5743,282.7531,127.0057,233.1624,0,U,48269,999,28647,.10179791E-2,.36074E-3,0
LEMUR-2-SPECIAL-K,2021-034F,2026-07-22T12:11:14.170560,15.77833093,.0006148,97.5623,293.2632,211.9192,148.1703,0,U,48273,999,28723,.17880834E-2,.310609E-2,0
LEMUR-2-EMBRIONOVIS,2023-084AQ,2026-07-22T09:36:39.168576,15.38367572,.00088903,97.6329,348.9822,180.3852,179.7387,0,U,56970,999,17309,.39879839E-3,.1503E-3,0
LEMUR-2-DEVERILL-M-T,2023-100F,2026-07-22T13:36:50.590944,15.41359875,.00048612,99.4449,252.5916,266.5325,93.5359,0,U,57391,999,16669,.68141641E-3,.28403E-3,0
LEMUR-2-BASS,2023-174D,2026-07-22T05:09:21.459744,15.44161059,.0007139,97.3836,288.4427,57.0694,303.1240,0,U,58259,999,15076,.40287576E-3,.18409E-3,0
