OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-06-09T13:43:30.162432,15.49137321,.00026916,53.1510,105.1676,96.3017,263.8298,0,U,44714,999,36303,.11550215E-2,.63933E-3,0
STARLINK-1012,2019-074F,2026-06-09T19:51:41.640192,15.49496299,.00024095,53.1553,104.2272,99.1058,261.0224,0,U,44718,999,36306,.15177916E-2,.85461E-3,0
STARLINK-1017,2019-074L,2026-06-09T02:45:30.517056,15.31481714,.00051523,53.0489,107.1352,45.2608,314.8811,0,U,44723,999,36294,.13744362E-2,.42252E-3,0
STARLINK-1020,2019-074N,2026-06-09T04:48:31.148928,15.54607412,.0004276,53.1564,131.2313,67.7204,292.4260,0,U,44725,999,36261,.11265115E-2,.76053E-3,0
STARLINK-1036,2019-074AE,2026-06-09T03:04:29.809056,15.69323811,.0002813,53.0415,100.5238,18.8357,341.2763,0,U,44741,999,36303,.41913477E-3,.49698E-3,0
STARLINK-1039,2019-074AH,2026-06-09T16:04:43.572864,15.28715592,.00041914,53.0571,149.9756,46.6363,313.4985,0,U,44744,999,36239,.15763053E-2,.44524E-3,0
STARLINK-1042,2019-074AL,2026-06-09T20:40:11.273376,15.54270374,.00028759,53.0437,11.0221,102.1760,257.9572,0,U,44747,999,36438,.38130287E-3,.24943E-3,0
STARLINK-1043,2019-074AM,2026-06-09T13:15:11.057184,15.62658415,.00010693,53.0477,108.7696,84.2143,275.8992,0,U,44748,999,36296,.38909287E-3,.35114E-3,0
STARLINK-1046,2019-074AQ,2026-06-09T04:59:54.883968,15.54899553,.00073635,53.0471,132.1194,60.9449,299.2298,0,U,44751,999,36260,.60861086E-3,.4116E-3,0
STARLINK-1047,2019-074AR,2026-06-09T01:26:54.782592,15.34565266,.00037785,53.0686,78.5103,113.1092,247.0308,0,U,44752,999,36336,.25421019E-3,.8267E-4,0
STARLINK-1048,2019-074AS,2026-06-09T12:07:29.189280,15.67481869,.00067643,53.0443,80.6900,61.7004,298.4693,0,U,44753,999,36334,.44867448E-3,.49383E-3,0
STARLINK-1063,2019-074BH,2026-06-09T15:34:47.277984,15.49077667,.00024677,53.1545,145.8243,58.7820,301.3430,0,U,44768,999,36248,.11046819E-2,.60974E-3,0
STARLINK-1067,2019-074BL,2026-06-09T02:34:45.683616,15.76893815,.0001897,53.0419,114.3646,106.0882,254.0346,0,U,44771,999,36284,.47633283E-3,.78616E-3,0
STARLINK-1068,2019-074BM,2026-06-09T19:33:37.418688,15.75621000,.00020929,53.0413,84.5478,135.0872,225.0316,0,U,44772,999,36331,.5105191E-3,.79697E-3,0
STARLINK-1114,2020-001P,2026-06-09T18:42:45.126144,15.65414290,.00043707,53.0402,241.9053,4.5284,355.5769,0,U,44927,999,35445,.42955763E-3,.43385E-3,0
STARLINK-1123,2020-001S,2026-06-09T19:51:49.111200,15.58424359,.00061805,53.1438,268.7865,317.9273,42.1264,0,U,44930,999,35409,.11296262E-2,.88103E-3,0
STARLINK-1094,2020-001AD,2026-06-09T18:58:57.575424,15.54608001,.0006716,53.1521,244.0344,342.5302,17.5478,0,U,44941,999,35444,.59926482E-3,.4007E-3,0
STARLINK-1122,2020-001AM,2026-06-09T11:32:35.814048,15.54525200,.0006012,53.1551,246.1440,340.6534,19.4248,0,U,44949,999,35438,.10368086E-2,.69715E-3,0
STARLINK-1080,2020-001AZ,2026-06-09T09:39:29.894112,15.67808455,.00028429,53.0442,204.1106,34.3986,325.7213,0,U,44961,999,35495,.39546298E-3,.43977E-3,0
STARLINK-1090,2020-001BG,2026-06-09T19:03:01.238112,15.50772380,.00050467,53.1489,232.4090,350.0274,10.0635,0,U,44968,999,35460,.11579271E-2,.67983E-3,0
STARLINK-1132,2020-006A,2026-06-09T18:18:21.968064,15.55897756,.00041954,53.1503,173.5270,26.6203,333.5023,0,U,45044,999,35120,.11803291E-2,.83679E-3,0
STARLINK-1131,2020-006D,2026-06-09T09:28:37.004736,15.52559409,.00057375,53.1565,208.1770,4.7150,355.3913,0,U,45047,999,35068,.10280194E-2,.64287E-3,0
STARLINK-1134,2020-006E,2026-06-09T16:34:55.025760,15.58738645,.00079554,53.0237,156.5003,66.3774,293.8072,0,U,45048,999,35141,.15855363E-2,.126021E-2,0
STARLINK-1156,2020-006L,2026-06-09T10:16:06.663360,15.35171478,.00045637,53.1564,213.8237,355.7368,4.3596,0,U,45054,999,35060,.1026207E-2,.35331E-3,0
STARLINK-1166,2020-006S,2026-06-09T18:12:30.963744,15.59862998,.00060962,53.0450,189.1731,14.5919,345.5268,0,U,45060,999,35096,.11084943E-2,.91357E-3,0
STARLINK-1169,2020-006T,2026-06-09T11:00:28.586880,15.38590491,.0005818,53.1550,212.2246,336.6250,23.4489,0,U,45061,999,35063,.12566252E-2,.48533E-3,0
STARLINK-1171,2020-006U,2026-06-09T16:34:17.032224,15.74604957,.00035176,53.0387,155.2001,13.1264,346.9846,0,U,45062,999,35143,.4529208E-3,.6747E-3,0
STARLINK-1133,2020-006W,2026-06-09T18:57:08.099712,15.35169520,.00055413,53.1572,188.9109,13.9661,346.1494,0,U,45064,999,35099,.13371067E-2,.4622E-3,0
STARLINK-1167,2020-006AD,2026-06-09T18:56:17.524608,15.37664064,.00041014,53.1562,187.9446,344.8132,15.2749,0,U,45071,999,35100,.15756586E-2,.59206E-3,0
STARLINK-1168,2020-006AE,2026-06-09T09:05:11.090976,15.35293470,.0004931,53.1559,191.0290,12.4853,347.6271,0,U,45072,999,35092,.12930379E-2,.44851E-3,0
STARLINK-1172,2020-006AG,2026-06-09T08:32:11.560704,15.38590196,.0004498,53.1541,189.3051,349.0607,11.0299,0,U,45074,999,35094,.10971876E-2,.42281E-3,0
STARLINK-1153,2020-006AN,2026-06-09T18:32:17.243520,15.37734962,.0005167,53.1573,187.9393,341.6547,18.4270,0,U,45080,999,35100,.71713516E-3,.26683E-3,0
STARLINK-1151,2020-006AP,2026-06-10T00:00:04.000320,15.87110799,.00016375,53.0474,142.0539,101.2770,184.0026,0,U,45081,999,590,.62884408E-3,.169542E-2,0
STARLINK-1185,2020-006AV,2026-06-09T07:41:46.288032,15.46138533,.00058863,53.1582,170.0881,21.2807,338.8445,0,U,45087,999,35121,.10945679E-2,.54496E-3,0
STARLINK-1183,2020-006AW,2026-06-09T08:36:13.672512,15.35132016,.00057289,53.1576,175.7474,25.0009,335.1270,0,U,45088,999,35113,.91699247E-3,.31479E-3,0
STARLINK-1152,2020-006BE,2026-06-09T04:47:31.461216,15.49050960,.00041916,53.0319,131.2881,72.4185,287.7280,0,U,45096,999,35172,.12392729E-2,.68478E-3,0
STARLINK-1184,2020-006BG,2026-06-09T09:22:08.647104,15.14363333,.00051687,53.0509,189.9133,36.7821,323.3525,0,U,45098,999,35091,.11618795E-2,.21325E-3,0
STARLINK-1193,2020-006BJ,2026-06-09T05:43:14.160576,15.68027223,.0004602,53.0452,142.7364,351.6963,8.3975,0,U,45100,999,35156,.41815E-3,.46985E-3,0
STARLINK-1143,2020-012B,2026-06-10T00:00:04.000320,15.90442972,.00089444,53.0332,229.7304,359.2120,23.1180,0,U,45179,999,602,.70897553E-3,.219871E-2,.2880158E-4
STARLINK-1202,2020-012F,2026-06-09T18:14:06.442656,15.34941263,.00016115,53.1577,330.6252,206.0501,154.0421,0,U,45183,999,34906,.1441969E-2,.49515E-3,0
STARLINK-1216,2020-012H,2026-06-09T17:43:28.363008,15.35216559,.00017851,53.1574,330.5773,205.5077,154.5838,0,U,45185,999,34900,.13518948E-2,.46793E-3,0
STARLINK-1225,2020-012K,2026-06-09T17:41:37.101408,15.35261673,.00017284,53.1598,331.0447,212.7163,147.3733,0,U,45187,999,34904,.16644145E-2,.57867E-3,0
STARLINK-1230,2020-012M,2026-06-09T17:57:41.695200,15.35093565,.00015652,53.1575,331.0660,216.5797,143.5099,0,U,45189,999,34627,.14079623E-2,.48569E-3,0
STARLINK-1234,2020-012N,2026-06-09T10:46:30.464544,15.74869786,.0004547,53.0364,232.3088,278.3686,81.6817,0,U,45190,999,35028,.42366903E-3,.63792E-3,0
STARLINK-1269,2020-012V,2026-06-09T17:51:02.808000,15.35161028,.00008501,53.1569,330.9350,134.9997,225.1075,0,U,45197,999,34902,.13413866E-2,.4634E-3,0
STARLINK-1154,2020-012W,2026-06-09T15:21:24.473376,15.63924898,.00021215,53.0417,285.9075,358.3360,1.7646,0,U,45198,999,34959,.42388289E-3,.40299E-3,0
STARLINK-1199,2020-012Z,2026-06-09T17:09:23.412384,15.35173316,.00017297,53.1569,315.3361,274.3098,85.7707,0,U,45201,999,34926,.14998367E-2,.51919E-3,0
STARLINK-1209,2020-012AE,2026-06-09T12:52:24.830400,15.65983062,.00070631,53.0374,246.6020,250.8970,109.1281,0,U,45206,999,34924,.47825684E-3,.49565E-3,0
STARLINK-1231,2020-012AL,2026-06-09T18:33:01.906272,15.27987351,.00026869,53.0373,310.4256,76.6761,283.4537,0,U,45212,999,34927,.15543826E-2,.42914E-3,0
STARLINK-1271,2020-012AR,2026-06-09T17:05:25.337184,15.35355286,.0001558,53.1574,315.4692,291.8483,68.2354,0,U,45217,999,34926,.8682714E-3,.29984E-3,0
STARLINK-1191,2020-012AW,2026-06-09T14:56:12.977952,15.39375122,.0002221,53.1556,288.8393,228.8515,131.2298,0,U,45222,999,34963,.1318058E-2,.52261E-3,0
STARLINK-1212,2020-012AX,2026-06-09T17:51:32.042304,15.67351383,.00009678,53.0395,261.1710,90.0491,270.0635,0,U,45223,999,35001,.4674187E-3,.51156E-3,0
STARLINK-1215,2020-012AZ,2026-06-09T15:30:41.860512,15.35417424,.00021175,53.1562,290.0453,289.0335,71.0439,0,U,45225,999,34957,.13664045E-2,.47612E-3,0
STARLINK-1221,2020-012BB,2026-06-09T17:31:01.983648,15.44905598,.00025597,53.0634,192.4393,330.7706,29.3157,0,U,45227,999,35092,.2485459E-3,.1146E-3,0
STARLINK-1222,2020-012BC,2026-06-09T13:23:59.937504,15.55249146,.00024742,53.0526,260.4687,13.5438,346.5638,0,U,45228,999,34989,.45211773E-3,.30781E-3,0
STARLINK-1226,2020-012BD,2026-06-09T14:23:53.221920,15.44377114,.0002923,53.1570,286.1906,288.7429,71.3261,0,U,45229,999,34956,.12902399E-2,.60564E-3,0
STARLINK-1227,2020-012BE,2026-06-09T14:37:53.200992,15.44480267,.00030807,53.1537,286.2507,276.0835,83.9821,0,U,45230,999,34968,.12247128E-2,.57648E-3,0
STARLINK-1246,2020-012BK,2026-06-09T18:00:14.578272,15.35118088,.00021302,53.1561,330.5277,222.1013,137.9827,0,U,45235,999,34908,.12210967E-2,.4207E-3,0
STARLINK-1270,2020-012BM,2026-06-10T00:00:04.000320,15.62940415,.00029178,53.0401,261.3711,310.2802,296.8265,0,U,45237,999,595,.17640864E-3,.15767E-3,0
STARLINK-1279,2020-019A,2026-06-09T07:10:15.897504,15.75065428,.00062181,53.0370,7.8268,118.2866,241.8781,0,U,45360,999,34503,.51685826E-3,.78815E-3,0
STARLINK-1301,2020-019B,2026-06-09T00:00:04.000320,15.80410153,.00006874,53.0352,11.8371,96.1182,189.7312,0,U,45361,999,600,.8224682E-3,.161243E-2,0
STARLINK-1262,2020-019G,2026-06-09T01:42:19.672128,15.34072438,.00038303,53.1523,100.1683,79.9646,280.1788,0,U,45366,999,34375,.12062303E-2,.4018E-3,0
STARLINK-1273,2020-019H,2026-06-09T11:42:46.115136,15.57461574,.00050158,53.0440,73.6363,70.7173,289.4380,0,U,45367,999,34414,.11428073E-2,.8592E-3,0
STARLINK-1277,2020-019K,2026-06-09T01:11:57.808032,15.64575140,.00045202,53.0416,69.7218,61.9117,298.2354,0,U,45369,999,34416,.45087808E-3,.44062E-3,0
STARLINK-1281,2020-019L,2026-06-09T12:54:16.485984,15.35083192,.00047832,53.1561,97.6059,75.5322,284.6211,0,U,45370,999,34383,.10339433E-2,.35501E-3,0
STARLINK-1300,2020-019Q,2026-06-09T13:11:05.866944,15.35557922,.00044176,53.1587,97.4527,92.9927,267.1582,0,U,45374,999,34383,.13425128E-2,.46989E-3,0
STARLINK-1302,2020-019R,2026-06-09T01:02:33.444960,15.67461403,.0005075,53.0452,65.8086,74.1424,286.0151,0,U,45375,999,34421,.41889492E-3,.45987E-3,0
STARLINK-1304,2020-019S,2026-06-09T10:21:36.854784,15.62969569,.00050744,53.0418,65.2568,86.1308,274.0285,0,U,45376,999,34425,.60712809E-3,.55939E-3,0
STARLINK-1305,2020-019T,2026-06-08T20:50:04.853472,15.71655217,.00019701,53.0377,46.4916,215.8820,144.2065,0,U,45377,999,34447,.45835652E-3,.60078E-3,0
STARLINK-1319,2020-019V,2026-06-09T17:16:00.936192,15.77699887,.00027379,53.0375,33.8918,98.8565,261.2765,0,U,45379,999,34472,.48316353E-3,.82728E-3,0
STARLINK-1266,2020-019Z,2026-06-08T23:58:45.668352,15.65925098,.0001304,53.0462,52.3134,153.6754,206.4327,0,U,45383,999,34439,.40840071E-3,.42059E-3,0
STARLINK-1267,2020-019AA,2026-06-08T23:12:49.557600,15.65445774,.00065791,53.0441,43.6967,115.1037,245.0661,0,U,45384,999,34451,.46595924E-3,.47218E-3,0
STARLINK-1272,2020-019AC,2026-06-09T21:01:43.100256,15.70023330,.00067341,53.0408,17.9395,101.8122,258.3650,0,U,45386,999,34495,.50720034E-3,.622E-3,0
STARLINK-1274,2020-019AD,2026-06-09T08:06:23.978592,15.62146355,.00070603,53.0198,19.9037,148.2158,211.9283,0,U,45387,999,34487,.10328589E-2,.92988E-3,0
STARLINK-1280,2020-019AE,2026-06-09T08:06:50.569920,15.82378780,.00007259,53.0366,28.0314,94.8761,265.2344,0,U,45388,999,34475,.5170361E-3,.110139E-2,0
STARLINK-1283,2020-019AF,2026-06-09T07:39:08.035200,15.71740975,.00027649,53.0403,19.7611,144.3509,215.7694,0,U,45389,999,34488,.45557966E-3,.59932E-3,0
STARLINK-1284,2020-019AG,2026-06-09T09:38:39.380352,15.70122135,.00040812,53.0412,43.2555,49.3195,310.8176,0,U,45390,999,34455,.45604185E-3,.56015E-3,0
STARLINK-1297,2020-019AM,2026-06-09T20:44:27.333600,15.68505062,.00058118,53.0420,40.0262,63.8577,296.3036,0,U,45395,999,34382,.4789374E-3,.55043E-3,0
STARLINK-1307,2020-019AP,2026-06-08T23:16:57.470304,15.56734035,.00021597,53.0530,50.4356,109.4245,250.6999,0,U,45397,999,34424,.45023834E-3,.32407E-3,0
STARLINK-1255,2020-019AR,2026-06-09T07:43:59.842560,15.65941701,.00046768,53.0361,16.4946,117.5718,242.5772,0,U,45399,999,34473,.43015573E-3,.4439E-3,0
STARLINK-1260,2020-019AW,2026-06-09T10:44:24.980640,15.38138369,.00057496,53.1552,60.7075,93.2636,266.9026,0,U,45404,999,34405,.2593499E-2,.99781E-3,0
STARLINK-1263,2020-019AX,2026-06-09T10:05:43.553472,15.35182947,.00041098,53.1566,62.1223,114.2473,245.8959,0,U,45405,999,34403,.14476094E-2,.5011E-3,0
STARLINK-1265,2020-019AY,2026-06-09T10:32:46.161888,15.38390465,.00044394,53.1564,60.7271,86.1647,273.9865,0,U,45406,999,34405,.12929451E-2,.49617E-3,0
STARLINK-1278,2020-019BA,2026-06-09T09:07:11.392608,15.69367831,.00060266,53.0403,41.3392,88.0091,272.1615,0,U,45408,999,34430,.45765551E-3,.54488E-3,0
STARLINK-1296,2020-019BE,2026-06-09T00:34:48.642240,15.38556153,.00051364,53.1544,62.3673,75.6155,284.5419,0,U,45412,999,34399,.12998066E-2,.50163E-3,0
STARLINK-1309,2020-019BG,2026-06-08T21:23:31.998048,15.68339359,.00056567,53.0616,37.7048,58.0843,302.0723,0,U,45414,999,34429,.43725149E-3,.49824E-3,0
STARLINK-1316,2020-019BH,2026-06-09T10:44:55.557600,15.38929170,.00056782,53.1565,60.3093,86.6632,273.5022,0,U,45415,999,34408,.12679447E-2,.49527E-3,0
STARLINK-1286,2020-019BK,2026-06-09T09:35:10.841856,15.64279232,.00014619,53.0467,46.7283,204.8480,155.2464,0,U,45417,999,34450,.53817488E-3,.52114E-3,0
STARLINK-1308,2020-019BM,2026-06-09T00:59:37.761792,15.65932844,.00075167,53.0463,67.8729,52.6710,307.4989,0,U,45419,999,34392,.4258324E-3,.43956E-3,0
STARLINK-1329,2020-025A,2026-06-09T18:56:17.372544,15.73521257,.00026882,53.0434,347.8080,159.0387,201.0741,0,U,45531,999,33989,.49976906E-3,.71113E-3,0
STARLINK-1338,2020-025B,2026-06-09T16:38:27.263904,15.68059225,.00026618,53.0447,355.0021,106.9038,253.2269,0,U,45532,999,33978,.43934016E-3,.4946E-3,0
STARLINK-1350,2020-025E,2026-06-09T17:19:29.501472,15.38265227,.00013539,53.0733,320.1840,87.9562,272.1596,0,U,45535,999,34031,.23314361E-3,.8538E-4,0
STARLINK-1362,2020-025H,2026-06-09T08:40:20.677152,15.37420490,.00033746,53.1576,33.1019,174.5034,185.6008,0,U,45538,999,33924,-.49879884E-2,-.18175E-2,0
STARLINK-1368,2020-025K,2026-06-08T22:03:52.882848,15.37527724,.00040662,53.1587,35.5399,136.6258,223.5066,0,U,45540,999,33916,.10003456E-2,.37169E-3,0
STARLINK-1371,2020-025M,2026-06-09T20:43:16.965120,15.62603230,.00041955,53.0454,3.9294,153.6567,206.4660,0,U,45542,999,33967,.95409177E-3,.87278E-3,0
STARLINK-1372,2020-025N,2026-06-08T21:03:49.429152,15.38042261,.00030302,53.1564,35.2288,124.5948,235.5342,0,U,45543,999,33826,.97802862E-3,.36943E-3,0
STARLINK-1373,2020-025P,2026-06-09T17:01:59.202336,15.69998871,.00025391,53.0452,0.1393,73.1552,286.9743,0,U,45544,999,33971,.47393327E-3,.57936E-3,0
STARLINK-1327,2020-025AA,2026-06-09T18:07:18.750432,15.67402046,.00037225,53.0424,337.1115,78.8423,281.3011,0,U,45555,999,34003,.44908644E-3,.49229E-3,0
STARLINK-1356,2020-025AK,2026-06-09T18:42:09.966528,15.65334809,.00004551,53.0435,350.1771,345.0441,15.0560,0,U,45564,999,33985,.45195231E-3,.45527E-3,0
STARLINK-1357,2020-025AL,2026-06-09T16:18:28.470816,15.69693543,.00047438,53.0456,307.3388,123.2490,236.8982,0,U,45565,999,34045,.4822362E-3,.58237E-3,0
STARLINK-1361,2020-025AN,2026-06-09T20:12:13.082112,15.63023699,.00020627,53.0437,348.2002,279.2992,80.7788,0,U,45567,999,33989,.11352941E-2,.105901E-2,0
STARLINK-1376,2020-025AR,2026-06-09T07:25:06.031776,15.38395248,.00036919,53.1592,9.6027,116.0814,244.0571,0,U,45570,999,33956,.1343828E-2,.51603E-3,0
STARLINK-1320,2020-025AT,2026-06-10T00:00:04.000320,15.87430262,.00087635,53.0408,244.4987,343.3262,298.3621,0,U,45572,999,601,.72015143E-3,.198513E-2,0
STARLINK-1321,2020-025AU,2026-06-09T17:19:49.984320,15.64036644,.00014079,53.0436,332.6698,180.8096,179.2916,0,U,45573,999,33979,.11461967E-2,.111352E-2,0
STARLINK-1331,2020-025AZ,2026-06-09T19:26:10.663296,15.63747591,.00018594,53.0464,339.1466,117.0746,243.0458,0,U,45578,999,34002,.10732995E-2,.102945E-2,0
STARLINK-1333,2020-025BB,2026-06-09T18:00:04.504896,15.35436284,.00020341,53.1565,9.0777,151.9794,208.1319,0,U,45580,999,33961,.14716701E-2,.51366E-3,0
STARLINK-1335,2020-025BC,2026-06-09T00:00:04.000320,15.37075479,.0004271,53.1547,9.3014,134.2126,239.4691,0,U,45581,999,584,.23548154E-2,.87323E-3,0
STARLINK-1337,2020-025BD,2026-06-09T20:20:58.261056,15.74773706,.00037491,53.0453,328.1588,104.5078,255.6357,0,U,45582,999,34016,.72492517E-3,.109725E-2,0
STARLINK-1347,2020-025BH,2026-06-10T00:00:04.000320,15.68877534,.00014947,53.0377,297.9734,127.0035,28.6199,0,U,45586,999,593,-.519791E-3,-.60987E-3,0
STARLINK-1364,2020-025BL,2026-06-09T17:23:11.441472,15.69551178,.00001819,53.0441,336.0231,281.6176,78.4820,0,U,45589,999,34004,.46507072E-3,.55769E-3,0
STARLINK-1365,2020-025BM,2026-06-09T20:37:47.801856,15.59480377,.00021836,53.0476,9.6493,112.6812,247.4431,0,U,45590,999,33960,.11527288E-2,.9361E-3,0
STARLINK-1443,2020-035D,2026-06-10T00:00:04.000320,15.32699929,.00023403,53.1348,356.6618,97.5206,206.3410,0,U,45660,999,582,.26013947E-2,.83867E-3,0
STARLINK-1446,2020-035G,2026-06-09T14:18:57.386592,15.47746700,.00017888,53.0225,281.3263,199.4784,160.6155,0,U,45663,999,33388,.5891978E-3,.30711E-3,0
STARLINK-1448,2020-035J,2026-06-09T19:36:46.346976,15.68467688,.00043136,53.0440,322.9417,100.8851,259.2651,0,U,45665,999,33331,.52414619E-3,.60216E-3,0
STARLINK-1451,2020-035M,2026-06-08T21:14:00.742848,15.14288102,.00020513,53.0537,12.9346,114.8357,245.2849,0,U,45668,999,33254,.15774424E-2,.29025E-3,0
