OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
APRIZESAT 2,2004-025A,2026-06-20T09:58:47.389728,14.38036809,.0104426,98.1018,337.2134,239.9872,119.0923,0,U,28366,999,15210,.50952E-4,.121E-5,0
SAUDICOMSAT 1,2004-025D,2026-06-20T10:53:06.512640,14.55475929,.003244,98.5770,181.6730,15.8231,344.3971,0,U,28369,999,16460,.72374E-4,.267E-5,0
SAUDICOMSAT 2,2004-025E,2026-06-20T00:33:40.534848,14.49982524,.00542367,98.6640,183.3499,250.7204,108.8117,0,U,28370,999,16051,.54375022E-4,.164E-5,0
APRIZESAT 1,2004-025G,2026-06-19T23:35:00.097728,14.51778242,.00452561,98.6302,181.7843,145.4838,214.9309,0,U,28372,999,16231,.54384672E-4,.172E-5,0
NANOSAT-1,2004-049B,2026-06-20T08:18:43.750080,14.80164628,.0002736,98.2281,308.0845,287.9038,72.1875,0,U,28493,999,15591,.1049E-3,.741E-5,0
SAUDICOMSAT 7,2007-012C,2026-06-20T09:19:44.010048,14.66112576,.0055526,98.3778,145.5859,185.1036,174.9608,0,U,31119,999,2290,.66514E-4,.32E-5,0
SAUDICOMSAT 6,2007-012E,2026-06-20T10:37:14.523744,14.62561600,.0070869,98.4099,139.0195,317.5249,42.0481,0,U,31121,999,2066,.90139E-4,.42E-5,0
SAUDICOMSAT 5,2007-012H,2026-06-20T10:13:12.480096,14.68159799,.0048603,98.3490,146.3702,114.7548,245.8725,0,U,31124,999,2407,.92918E-4,.49E-5,0
SAUDICOMSAT 3,2007-012J,2026-06-20T10:46:17.787936,14.70710395,.0040076,98.3144,146.9417,43.2109,317.2229,0,U,31125,999,2530,.11458E-3,.653E-5,0
SAUDICOMSAT 4,2007-012L,2026-06-20T10:25:09.417792,14.64514785,.0062131,98.3984,144.0709,247.8695,111.5904,0,U,31127,999,2176,.69416E-4,.324E-5,0
APRIZESAT 4,2009-041D,2026-06-19T18:02:53.803104,14.83882094,.00422438,98.1412,246.1237,314.5541,45.2225,0,U,35684,999,91174,.5983022E-4,.445E-5,0
APRIZESAT 3,2009-041F,2026-06-20T09:01:11.991936,14.96251370,.0062797,98.2069,324.7522,57.4441,303.2823,0,U,35686,999,91685,.13805E-3,.1553E-4,0
S-NET D,2018-014G,2026-06-20T07:10:17.035392,15.16696846,.0008631,97.5356,76.0698,20.4965,339.6613,0,U,43186,999,45923,.21192E-3,.4087E-4,0
S-NET B,2018-014H,2026-06-20T10:36:52.426080,15.16668142,.0009101,97.5362,76.1989,14.9277,345.2223,0,U,43187,999,45925,.19866E-3,.3824E-4,0
S-NET A,2018-014J,2026-06-20T07:08:38.618880,15.16704943,.0008975,97.5373,76.2647,16.0073,344.1441,0,U,43188,999,45923,.21459E-3,.414E-4,0
S-NET C,2018-014K,2026-06-20T07:32:28.034304,15.16659336,.0010128,97.5390,76.3562,7.5265,352.6118,0,U,43189,999,45778,.19448E-3,.3742E-4,0
SALSAT,2020-068K,2026-06-19T22:59:40.174368,15.29832652,.00078926,97.8854,174.1914,296.5001,63.5428,0,U,46495,999,31578,.22355472E-3,.6379E-4,0
OOV-CUBE (TUBSAT-30),2024-128F,2026-06-20T10:46:29.254080,15.02783719,.0044227,61.9929,214.1994,134.4761,225.9960,0,U,60240,999,10660,.10887E-3,.1277E-4,0
LPNTSAT-001 (IOD-1),2026-065A,2026-06-19T21:50:43.823616,15.18549663,.00163895,97.4012,51.3621,1.3346,358.7929,0,U,68408,999,1267,.10310181E-3,.2068E-4,0
